datetime,Mean CH - layer 2 (Principal Aquifer)
12/1/1918,206.5004313
1/1/1919,206.4962599
2/1/1919,206.4922284
3/1/1919,206.4886991
4/1/1919,206.4849243
5/1/1919,206.4813893
6/1/1919,206.4778527
7/1/1919,206.4723008
8/1/1919,206.4290259
9/1/1919,206.3949638
10/1/1919,206.3546134
11/1/1919,206.3205543
12/1/1919,206.2984319
1/1/1920,206.2811961
2/1/1920,206.2488366
3/1/1920,206.1582855
4/1/1920,206.1332258
5/1/1920,206.2998818
6/1/1920,206.284498
7/1/1920,206.2596398
8/1/1920,206.1927318
9/1/1920,206.1328254
10/1/1920,206.0671406
11/1/1920,206.1779587
12/1/1920,206.1259375
1/1/1921,206.0645417
2/1/1921,206.0081075
3/1/1921,205.9517671
4/1/1921,205.9065686
5/1/1921,205.8635759
6/1/1921,205.8342328
7/1/1921,205.8083985
8/1/1921,205.9744454
9/1/1921,205.948534
10/1/1921,205.9270094
11/1/1921,205.9015536
12/1/1921,205.874721
1/1/1922,205.8490466
2/1/1922,205.8304967
3/1/1922,205.816489
4/1/1922,205.8017465
5/1/1922,205.7903442
6/1/1922,205.7800736
7/1/1922,205.7700182
8/1/1922,205.7562414
9/1/1922,205.7426752
10/1/1922,205.7311007
11/1/1922,205.721528
12/1/1922,205.7134485
1/1/1923,205.8606521
2/1/1923,206.0225569
3/1/1923,206.0114769
4/1/1923,206.0005574
5/1/1923,205.9909223
6/1/1923,205.9817999
7/1/1923,205.9721175
8/1/1923,205.9601856
9/1/1923,205.7529261
10/1/1923,205.7394589
11/1/1923,205.7047429
12/1/1923,205.6529109
1/1/1924,205.6167061
2/1/1924,205.5442791
3/1/1924,205.4680813
4/1/1924,205.6749566
5/1/1924,205.7311519
6/1/1924,205.5691818
7/1/1924,205.3990427
8/1/1924,205.2033617
9/1/1924,205.0074516
10/1/1924,205.0506999
11/1/1924,204.8862801
12/1/1924,204.7294962
1/1/1925,204.5863857
2/1/1925,204.2441023
3/1/1925,204.1394478
4/1/1925,204.0320408
5/1/1925,203.938301
6/1/1925,204.0410964
7/1/1925,203.9709668
8/1/1925,203.6870219
9/1/1925,203.6468331
10/1/1925,203.3871145
11/1/1925,203.5188576
12/1/1925,203.4500394
1/1/1926,203.1558602
2/1/1926,203.1032289
3/1/1926,203.0553855
4/1/1926,203.003455
5/1/1926,202.9674613
6/1/1926,202.9372487
7/1/1926,202.9099512
8/1/1926,202.8833587
9/1/1926,202.8534629
10/1/1926,202.8289714
11/1/1926,202.8039369
12/1/1926,202.7855911
1/1/1927,202.7739547
2/1/1927,202.7696422
3/1/1927,202.7661807
4/1/1927,202.7637297
5/1/1927,202.7620325
6/1/1927,202.7610447
7/1/1927,202.7600394
8/1/1927,202.7567006
9/1/1927,202.7533242
10/1/1927,202.4923446
11/1/1927,202.4858559
12/1/1927,202.6578551
1/1/1928,202.6088461
2/1/1928,202.5456364
3/1/1928,202.7044138
4/1/1928,202.8563289
5/1/1928,202.5401049
6/1/1928,202.3773713
7/1/1928,202.2397533
8/1/1928,201.8517175
9/1/1928,201.6930482
10/1/1928,201.518513
11/1/1928,201.3436134
12/1/1928,201.4052679
1/1/1929,201.4310397
2/1/1929,201.2846959
3/1/1929,201.1615082
4/1/1929,200.776411
5/1/1929,200.5870183
6/1/1929,200.3777878
7/1/1929,200.1816092
8/1/1929,200.0096731
9/1/1929,199.8626964
10/1/1929,199.7297932
11/1/1929,199.6284255
12/1/1929,199.5473514
1/1/1930,199.4795119
2/1/1930,199.4270615
3/1/1930,199.3857984
4/1/1930,199.3201539
5/1/1930,199.2591954
6/1/1930,199.1953379
7/1/1930,198.9594713
8/1/1930,199.3013336
9/1/1930,199.1863781
10/1/1930,199.3070815
11/1/1930,199.219775
12/1/1930,199.3762099
1/1/1931,199.2352092
2/1/1931,199.0508923
3/1/1931,199.1399967
4/1/1931,198.9603329
5/1/1931,198.4705943
6/1/1931,198.5764238
7/1/1931,198.2081853
8/1/1931,197.7733175
9/1/1931,197.1216472
10/1/1931,196.6561109
11/1/1931,195.8591134
12/1/1931,195.3760714
1/1/1932,195.172589
2/1/1932,194.7509034
3/1/1932,194.4089806
4/1/1932,194.0865654
5/1/1932,193.7276694
6/1/1932,193.1740218
7/1/1932,192.6597969
8/1/1932,192.0885898
9/1/1932,191.7213134
10/1/1932,191.2810416
11/1/1932,191.0828705
12/1/1932,190.52891
1/1/1933,190.108958
2/1/1933,189.6325537
3/1/1933,189.3332067
4/1/1933,188.5227679
5/1/1933,187.7147776
6/1/1933,186.9867958
7/1/1933,186.5508694
