datetime,Mean CH - layer 3 (Lower Semi-Confined Aquifer)
12/1/1918,203.3881585
1/1/1919,203.3760599
2/1/1919,203.3647452
3/1/1919,203.3559291
4/1/1919,203.3222551
5/1/1919,203.3262391
6/1/1919,203.3585046
7/1/1919,203.3520821
8/1/1919,203.3461308
9/1/1919,203.3408758
10/1/1919,203.3364496
11/1/1919,203.3325628
12/1/1919,203.3294233
1/1/1920,203.3268022
2/1/1920,203.3247286
3/1/1920,203.3231638
4/1/1920,203.3218013
5/1/1920,203.3206994
6/1/1920,203.3197583
7/1/1920,203.3190016
8/1/1920,203.3183481
9/1/1920,203.3177872
10/1/1920,203.3173115
11/1/1920,203.3168733
12/1/1920,203.3164957
1/1/1921,203.3161452
2/1/1921,203.3158227
3/1/1921,203.3155528
4/1/1921,203.3152798
5/1/1921,203.3150393
6/1/1921,203.3148154
7/1/1921,203.3146205
8/1/1921,203.3144395
9/1/1921,203.3142758
10/1/1921,203.3141319
11/1/1921,203.3139975
12/1/1921,203.3043834
1/1/1922,203.3042756
2/1/1922,203.3041789
3/1/1922,203.3041004
4/1/1922,203.3040049
5/1/1922,203.3038988
6/1/1922,203.3037943
7/1/1922,203.3036976
8/1/1922,203.3036008
9/1/1922,203.303503
10/1/1922,203.3034084
11/1/1922,203.30325
12/1/1922,203.3030934
1/1/1923,203.3029437
2/1/1923,203.302805
3/1/1923,203.3026867
4/1/1923,203.3025598
5/1/1923,203.3024368
6/1/1923,203.3023055
7/1/1923,203.3021729
8/1/1923,203.3020305
9/1/1923,203.3018847
10/1/1923,203.3017428
11/1/1923,203.3015968
12/1/1923,203.301456
1/1/1924,203.30131
2/1/1924,203.301162
3/1/1924,203.3010205
4/1/1924,203.3008646
5/1/1924,203.3007088
6/1/1924,203.3005425
7/1/1924,203.3003779
8/1/1924,203.3002076
9/1/1924,203.3000416
10/1/1924,203.2998891
11/1/1924,203.2997438
12/1/1924,203.2996166
1/1/1925,203.299499
2/1/1925,203.299392
3/1/1925,203.2993005
4/1/1925,203.2989478
5/1/1925,203.2971654
6/1/1925,203.2924064
7/1/1925,203.2882535
8/1/1925,203.3176496
9/1/1925,203.3270047
10/1/1925,203.3268018
11/1/1925,203.3155348
12/1/1925,203.3152187
1/1/1926,203.3148693
2/1/1926,203.3144881
3/1/1926,203.3141223
4/1/1926,203.3136974
5/1/1926,203.3132732
6/1/1926,203.3128264
7/1/1926,203.3123909
8/1/1926,203.3119425
9/1/1926,203.3115009
10/1/1926,203.3110843
11/1/1926,203.3106662
12/1/1926,203.3102762
1/1/1927,203.3098908
2/1/1927,203.3095246
3/1/1927,203.3092107
4/1/1927,203.308887
5/1/1927,203.3085997
6/1/1927,203.308326
7/1/1927,203.308073
8/1/1927,203.3078541
9/1/1927,203.307677
10/1/1927,203.3075421
11/1/1927,203.3074323
12/1/1927,203.3073397
1/1/1928,203.3072568
2/1/1928,203.3071844
3/1/1928,203.3071242
4/1/1928,203.3070666
5/1/1928,203.3070159
6/1/1928,203.3069676
7/1/1928,203.3069236
8/1/1928,203.3062043
9/1/1928,203.3056833
10/1/1928,203.3056353
11/1/1928,203.3055808
12/1/1928,203.3055242
1/1/1929,203.3054623
2/1/1929,203.3053981
3/1/1929,203.3053389
4/1/1929,203.3052731
5/1/1929,203.2985349
6/1/1929,203.2869233
7/1/1929,203.2997484
8/1/1929,203.2955885
9/1/1929,203.2987416
10/1/1929,203.2967764
11/1/1929,203.2825819
12/1/1929,203.2518665
1/1/1930,203.2303102
2/1/1930,203.2097405
3/1/1930,203.1696624
4/1/1930,202.8398978
5/1/1930,202.430907
6/1/1930,201.9582105
7/1/1930,201.8748988
8/1/1930,201.848329
9/1/1930,201.8135123
10/1/1930,201.7218328
11/1/1930,201.6523986
12/1/1930,201.6232959
1/1/1931,201.6066095
2/1/1931,201.5912046
3/1/1931,201.5775671
4/1/1931,201.5634211
5/1/1931,201.5366526
6/1/1931,201.5061054
7/1/1931,201.4854479
8/1/1931,201.463134
9/1/1931,201.4504435
10/1/1931,201.4316281
11/1/1931,201.4143154
12/1/1931,201.4022145
1/1/1932,201.3951454
2/1/1932,201.3910374
3/1/1932,201.3971299
4/1/1932,201.3731086
5/1/1932,201.3660675
6/1/1932,201.3610763
7/1/1932,201.3571931
8/1/1932,201.3531169
9/1/1932,201.3444593
10/1/1932,201.3288818
11/1/1932,201.3099401
12/1/1932,201.2703193
1/1/1933,201.2471805
2/1/1933,201.2365362
3/1/1933,201.2284197
4/1/1933,201.2196941
5/1/1933,201.2214273
6/1/1933,201.2052347
7/1/1933,201.2013208
8/1/1933,201.1980338
9/1/1933,201.1932778
10/1/1933,201.1899374
11/1/1933,201.186084
12/1/1933,201.1823666
1/1/1934,201.1849487
2/1/1934,201.1811334
3/1/1934,201.1775336
4/1/1934,201.1671182
5/1/1934,201.1630915
6/1/1934,201.1586737
7/1/1934,201.1485117
8/1/1934,201.1281303
9/1/1934,201.1298301
10/1/1934,201.1334352
11/1/1934,201.137784
12/1/1934,201.1411555
1/1/1935,201.1332234
2/1/1935,201.1358848
3/1/1935,201.1285242
4/1/1935,201.1163253
5/1/1935,201.1081376
6/1/1935,201.0987206
7/1/1935,201.0900445
8/1/1935,201.078897
9/1/1935,201.06314
10/1/1935,201.0318458
11/1/1935,200.9733401
12/1/1935,200.9071271
1/1/1936,200.8549757
2/1/1936,200.8066295
3/1/1936,200.6824594
4/1/1936,200.5668854
5/1/1936,200.5060471
6/1/1936,200.4095756
7/1/1936,200.327412
8/1/1936,200.2830467
9/1/1936,200.2505513
10/1/1936,200.0502152
11/1/1936,199.7482368
12/1/1936,199.5015293
1/1/1937,199.0501273
2/1/1937,198.8410045
3/1/1937,198.5954968
4/1/1937,198.4314753
5/1/1937,198.1454038
6/1/1937,197.6349058
7/1/1937,196.9017213
8/1/1937,196.7176815
9/1/1937,196.6386486
10/1/1937,196.5885202
11/1/1937,196.5471165
12/1/1937,196.4964373
1/1/1938,196.4480801
2/1/1938,196.4043233
3/1/1938,196.3697518
4/1/1938,196.3380076
5/1/1938,196.317899
6/1/1938,196.2983248
7/1/1938,196.2782906
8/1/1938,196.2527227
9/1/1938,196.2258529
10/1/1938,196.1942028
11/1/1938,196.1494456
12/1/1938,196.0605759
1/1/1939,196.0158439
2/1/1939,195.9493293
3/1/1939,195.9193367
4/1/1939,195.7999772
5/1/1939,195.7608335
6/1/1939,195.7178127
7/1/1939,195.6854127
8/1/1939,195.6699128
9/1/1939,195.6491677
10/1/1939,195.6214513
11/1/1939,195.6029332
12/1/1939,195.5854344
1/1/1940,195.5580974
2/1/1940,195.5398064
3/1/1940,195.5211597
4/1/1940,195.489844
5/1/1940,195.472963
6/1/1940,195.4545404
7/1/1940,195.4424123
8/1/1940,195.4272108
9/1/1940,195.4126878
10/1/1940,195.3902664
11/1/1940,195.3718322
12/1/1940,195.3267634
1/1/1941,195.2306333
2/1/1941,195.1987286
3/1/1941,195.1732328
4/1/1941,195.1157187
5/1/1941,195.0855661
6/1/1941,195.0746995
7/1/1941,195.0552232
8/1/1941,195.0351139
9/1/1941,195.0105227
10/1/1941,194.9823756
11/1/1941,194.9617739
12/1/1941,194.9449292
1/1/1942,194.9300389
2/1/1942,194.9174284
3/1/1942,194.9067044
4/1/1942,194.8876334
5/1/1942,194.8773347
6/1/1942,194.8673958
7/1/1942,194.8584561
8/1/1942,194.8499721
9/1/1942,194.8422467
10/1/1942,194.8354567
11/1/1942,194.8291118
12/1/1942,194.8235162
1/1/1943,194.8118958
2/1/1943,194.8056189
3/1/1943,194.8009582
4/1/1943,194.7960983
5/1/1943,194.7913421
6/1/1943,194.7863556
7/1/1943,194.7814536
8/1/1943,194.7763613
9/1/1943,194.7714011
10/1/1943,194.7667905
11/1/1943,194.7622648
12/1/1943,194.7581292
1/1/1944,194.7541142
2/1/1944,194.7503445
3/1/1944,194.7523155
4/1/1944,194.7489345
5/1/1944,194.7510741
6/1/1944,194.7480723
7/1/1944,194.7454118
8/1/1944,194.7429153
9/1/1944,194.7406694
10/1/1944,194.7387099
11/1/1944,194.7368722
12/1/1944,194.7352324
1/1/1945,194.7320419
2/1/1945,194.7301161
3/1/1945,194.7283172
4/1/1945,194.7265425
5/1/1945,194.7247561
6/1/1945,194.7319373
7/1/1945,194.7588215
8/1/1945,194.7131129
9/1/1945,194.1843369
10/1/1945,193.4691505
11/1/1945,192.2468968
12/1/1945,192.0417676
1/1/1946,191.9713981
2/1/1946,191.9444386
3/1/1946,191.9291221
4/1/1946,191.9215615
5/1/1946,191.9146225
6/1/1946,191.9144253
7/1/1946,191.9070306
8/1/1946,191.8919088
9/1/1946,191.8844103
10/1/1946,191.8774829
11/1/1946,191.8709589
12/1/1946,191.8729284
1/1/1947,191.8681259
2/1/1947,191.8641202
3/1/1947,191.8611203
4/1/1947,191.8584465
5/1/1947,191.8563575
6/1/1947,191.8546367
7/1/1947,191.800012
8/1/1947,190.5338986
9/1/1947,187.7630797
10/1/1947,187.152754
11/1/1947,186.6640111
12/1/1947,186.4029061
1/1/1948,186.2294567
2/1/1948,186.1100737
3/1/1948,186.0198091
4/1/1948,185.9490559
5/1/1948,185.9072392
6/1/1948,185.8789936
7/1/1948,185.8451537
8/1/1948,185.7799782
9/1/1948,185.5288168
10/1/1948,185.075265
11/1/1948,184.7349096
12/1/1948,184.5556447
1/1/1949,184.4312122
2/1/1949,184.3586484
3/1/1949,184.3070397
4/1/1949,184.2816669
5/1/1949,184.2531285
6/1/1949,184.2362603
7/1/1949,184.2115599
8/1/1949,184.1881925
9/1/1949,184.1669174
10/1/1949,184.1481741
11/1/1949,184.1305581
12/1/1949,184.1122988
1/1/1950,184.0976936
2/1/1950,184.0841621
3/1/1950,184.0726186
4/1/1950,184.0604095
5/1/1950,184.0487963
6/1/1950,184.0368217
7/1/1950,184.0252219
8/1/1950,184.013062
9/1/1950,184.000574
10/1/1950,183.9872831
11/1/1950,183.9637229
12/1/1950,183.9471908
1/1/1951,183.9253945
2/1/1951,183.8729246
3/1/1951,183.8354867
4/1/1951,183.793942
5/1/1951,183.754409
6/1/1951,183.7307017
7/1/1951,183.7001391
8/1/1951,183.6702499
9/1/1951,183.6113008
10/1/1951,183.530056
11/1/1951,182.8198081
12/1/1951,181.5041827
1/1/1952,181.2321716
2/1/1952,181.0856007
3/1/1952,180.995459
4/1/1952,180.9232495
5/1/1952,180.8803092
6/1/1952,180.8347025
7/1/1952,180.8023563
8/1/1952,180.7773677
9/1/1952,180.7517333
10/1/1952,180.7168327
11/1/1952,180.6614687
12/1/1952,180.6023529
1/1/1953,180.5136628
2/1/1953,180.3290413
3/1/1953,180.025839
4/1/1953,179.62258
5/1/1953,178.7787138
6/1/1953,177.5181089
7/1/1953,176.7941221
8/1/1953,176.0908342
9/1/1953,175.1022621
10/1/1953,174.6221446
11/1/1953,173.8865766
12/1/1953,173.1905641
1/1/1954,172.3493184
2/1/1954,172.0837372
3/1/1954,171.9229317
4/1/1954,171.7271912
5/1/1954,171.588241
6/1/1954,171.4530771
7/1/1954,171.3435109
8/1/1954,171.234123
9/1/1954,171.1401661
10/1/1954,171.0511998
11/1/1954,170.9563141
12/1/1954,170.8748143
1/1/1955,170.8078109
2/1/1955,170.7536816
3/1/1955,170.7156657
4/1/1955,170.6699789
5/1/1955,170.6211569
6/1/1955,170.5797316
7/1/1955,170.5422125
8/1/1955,170.5061111
9/1/1955,170.4779191
10/1/1955,170.446905
11/1/1955,170.4047766
12/1/1955,170.3529093
1/1/1956,170.3151075
2/1/1956,170.277635
3/1/1956,170.2498725
4/1/1956,170.2208622
5/1/1956,170.1938261
6/1/1956,170.1674133
7/1/1956,170.1434819
8/1/1956,170.120432
9/1/1956,170.0926807
10/1/1956,170.0742592
11/1/1956,170.0504949
12/1/1956,170.028966
1/1/1957,170.0086674
2/1/1957,169.9960914
3/1/1957,169.9856176
4/1/1957,169.9749996
5/1/1957,169.9715184
6/1/1957,169.962578
7/1/1957,169.9547318
8/1/1957,169.9474921
9/1/1957,169.9410772
10/1/1957,169.9355774
11/1/1957,169.9305343
12/1/1957,169.9261236
1/1/1958,169.9164755
2/1/1958,169.9177345
3/1/1958,169.9134558
4/1/1958,169.9030079
5/1/1958,169.8989327
6/1/1958,169.8947817
7/1/1958,169.8962113
8/1/1958,169.8914339
9/1/1958,169.8839206
10/1/1958,169.8773437
11/1/1958,169.8559684
12/1/1958,169.8419829
1/1/1959,169.8198104
2/1/1959,169.7863282
3/1/1959,169.7833512
4/1/1959,169.7714473
5/1/1959,169.7606911
6/1/1959,169.7491181
7/1/1959,169.731904
8/1/1959,169.7188845
9/1/1959,169.7008722
10/1/1959,169.6811707
11/1/1959,169.6034449
12/1/1959,169.4414492
1/1/1960,168.6822798
2/1/1960,168.5722133
3/1/1960,168.490027
4/1/1960,168.4479398
