datetime,Mean CH - layer 2 (Transitional Aquifer)
1/1/1953,302.2415965
2/1/1953,302.2415009
3/1/1953,302.2414123
4/1/1953,302.2413162
5/1/1953,302.2412225
6/1/1953,302.2411158
7/1/1953,302.2409717
8/1/1953,302.2407345
9/1/1953,302.2403216
10/1/1953,302.2396022
11/1/1953,302.2384172
12/1/1953,302.2368484
1/1/1954,302.2350149
2/1/1954,302.23305
3/1/1954,302.2312039
4/1/1954,302.2290686
5/1/1954,302.2189275
6/1/1954,302.2041306
7/1/1954,302.1973272
8/1/1954,302.1943416
9/1/1954,302.187774
10/1/1954,302.1851451
11/1/1954,302.1829477
12/1/1954,302.180791
1/1/1955,302.178365
2/1/1955,302.1761543
3/1/1955,302.173798
4/1/1955,302.1703101
5/1/1955,302.1676849
6/1/1955,302.1654376
7/1/1955,302.1632837
8/1/1955,302.1610502
9/1/1955,302.1588119
10/1/1955,302.1566688
11/1/1955,302.1545304
12/1/1955,302.1526225
1/1/1956,302.1508279
2/1/1956,302.1492642
3/1/1956,302.1480658
4/1/1956,302.1465702
5/1/1956,302.1449349
6/1/1956,302.1431258
7/1/1956,302.1413321
8/1/1956,302.1395271
9/1/1956,302.1380796
10/1/1956,302.1374461
11/1/1956,302.136984
12/1/1956,302.1366412
1/1/1957,302.1361895
2/1/1957,302.135431
3/1/1957,302.1344517
4/1/1957,302.1329467
5/1/1957,302.1311669
6/1/1957,302.1293937
7/1/1957,302.1276212
8/1/1957,302.1257424
9/1/1957,302.1238871
10/1/1957,302.1220975
11/1/1957,302.120267
12/1/1957,302.1185421
1/1/1958,302.1168592
2/1/1958,302.1151488
3/1/1958,302.1135883
4/1/1958,302.1118576
5/1/1958,302.110256
6/1/1958,302.1088439
7/1/1958,302.1079831
8/1/1958,302.107539
9/1/1958,302.107364
10/1/1958,302.1073278
11/1/1958,302.107324
12/1/1958,302.107324
1/1/1959,302.107324
2/1/1959,302.107324
3/1/1959,302.107324
4/1/1959,302.1073013
5/1/1959,302.107274
6/1/1959,302.1072094
7/1/1959,302.1070837
8/1/1959,302.106821
9/1/1959,302.1062817
10/1/1959,302.1053659
11/1/1959,302.104097
12/1/1959,302.1026741
1/1/1960,302.1026254
2/1/1960,302.1026243
3/1/1960,302.1026243
4/1/1960,302.1026243
5/1/1960,302.1026243
6/1/1960,302.1026243
7/1/1960,302.1026243
8/1/1960,302.1026243
9/1/1960,302.1026243
10/1/1960,302.1026243
11/1/1960,302.1026243
12/1/1960,302.1026243
1/1/1961,302.1026243
2/1/1961,302.1026243
3/1/1961,302.1026243
4/1/1961,302.1026243
5/1/1961,302.1026243
6/1/1961,302.1026243
7/1/1961,302.1026243
8/1/1961,302.1026243
9/1/1961,302.1026243
10/1/1961,302.1026243
11/1/1961,302.1026243
12/1/1961,302.1026243
1/1/1962,302.1026243
2/1/1962,302.1026243
3/1/1962,302.1026199
4/1/1962,302.102611
5/1/1962,302.1025904
6/1/1962,302.1025691
7/1/1962,302.1025441
8/1/1962,302.1025143
9/1/1962,302.1024883
10/1/1962,302.1024589
11/1/1962,302.102399
12/1/1962,302.1023666
1/1/1963,302.1023332
2/1/1963,302.1023047
3/1/1963,302.1022819
4/1/1963,302.1022588
5/1/1963,302.102234
6/1/1963,302.1022015
7/1/1963,302.1021717
8/1/1963,302.1021512
9/1/1963,302.1021317
10/1/1963,302.1021052
11/1/1963,302.1020756
12/1/1963,302.1020476
1/1/1964,302.1020225
2/1/1964,302.1019994
3/1/1964,302.1019801
4/1/1964,302.1019575
5/1/1964,302.1019355
6/1/1964,302.1019126
7/1/1964,302.1018904
8/1/1964,302.1018673
9/1/1964,302.1018435
10/1/1964,302.1017911
11/1/1964,302.1017493
12/1/1964,302.1016984
1/1/1965,302.1016448
2/1/1965,302.1015986
3/1/1965,302.101558
4/1/1965,302.1015097
5/1/1965,302.1014528
6/1/1965,302.1013918
7/1/1965,302.1012692
8/1/1965,302.1011088
9/1/1965,302.1009019
10/1/1965,302.1006808
11/1/1965,302.1005131
12/1/1965,302.1003598
1/1/1966,302.1001353
2/1/1966,302.0998386
3/1/1966,302.0995948
4/1/1966,302.0993419
5/1/1966,302.0991633
6/1/1966,302.0990539
7/1/1966,302.0989939
8/1/1966,302.0989465
9/1/1966,302.0989093
10/1/1966,302.0988759
11/1/1966,302.0988397
12/1/1966,302.0988011
1/1/1967,302.0987598
2/1/1967,302.0987188
3/1/1967,302.0986796
4/1/1967,302.0986311
5/1/1967,302.0985831
6/1/1967,302.0985422
7/1/1967,302.0985191
8/1/1967,302.0984956
9/1/1967,302.0984746
10/1/1967,302.0984596
11/1/1967,302.0984503
12/1/1967,302.0984469
1/1/1968,302.0984469
2/1/1968,302.0984469
3/1/1968,302.0984469
4/1/1968,302.0984469
5/1/1968,302.0984469
6/1/1968,302.0984469
7/1/1968,302.0984469
8/1/1968,302.0984469
9/1/1968,302.0984469
10/1/1968,302.0984469
11/1/1968,302.0984469
12/1/1968,302.0984469
1/1/1969,302.0984469
2/1/1969,302.0984469
3/1/1969,302.0984469
4/1/1969,302.0984469
5/1/1969,302.0984469
6/1/1969,302.0984469
7/1/1969,302.0984469
8/1/1969,302.0984469
9/1/1969,302.0984469
10/1/1969,302.0984469
11/1/1969,302.0984469
12/1/1969,302.0984469
1/1/1970,302.0984469
2/1/1970,302.0984469
3/1/1970,302.0984469
4/1/1970,302.0984469
5/1/1970,302.0984469
6/1/1970,302.0984469
7/1/1970,302.0984469
8/1/1970,302.0984469
9/1/1970,302.0984469
10/1/1970,302.0984469
11/1/1970,302.0984469
12/1/1970,302.0984469
1/1/1971,302.0984469
2/1/1971,302.0984469
3/1/1971,302.0984469
4/1/1971,302.0984469
5/1/1971,302.0984469
6/1/1971,302.0984469
7/1/1971,302.0984469
8/1/1971,302.0984469
9/1/1971,302.0984469
10/1/1971,302.0984469
11/1/1971,302.0984469
12/1/1971,302.0984469
1/1/1972,302.0984469
2/1/1972,302.0984469
3/1/1972,302.0984469
4/1/1972,302.0984469
5/1/1972,302.0984469
6/1/1972,302.0983343
7/1/1972,302.0981148
8/1/1972,302.0950479
9/1/1972,302.0923061
10/1/1972,302.0893842
11/1/1972,302.0865436
12/1/1972,302.0840803
1/1/1973,302.0824359
2/1/1973,302.0804835
3/1/1973,302.0789783
4/1/1973,302.0776817
5/1/1973,302.0768595
6/1/1973,302.0761741
7/1/1973,302.0754799
8/1/1973,302.0747556
9/1/1973,302.0741204
10/1/1973,302.0737244
11/1/1973,302.0734155
12/1/1973,302.0732653
1/1/1974,302.0732154
2/1/1974,302.0731937
3/1/1974,302.0731887
4/1/1974,302.0731887
5/1/1974,302.0731887
6/1/1974,302.0731887
7/1/1974,302.0731887
8/1/1974,302.0731887
9/1/1974,302.0731887
10/1/1974,302.0731887
11/1/1974,302.0731887
12/1/1974,302.0731887
1/1/1975,302.0731887
2/1/1975,302.0731887
3/1/1975,302.0731887
4/1/1975,302.0731887
5/1/1975,302.0731887
6/1/1975,302.0731887
7/1/1975,302.0731887
8/1/1975,302.0731887
9/1/1975,302.0731887
10/1/1975,302.0731887
11/1/1975,302.0731887
12/1/1975,302.0731887
1/1/1976,302.0731887
2/1/1976,302.0731887
3/1/1976,302.0731887
4/1/1976,302.0731887
5/1/1976,302.0731887
6/1/1976,302.0731887
7/1/1976,302.0731887
8/1/1976,302.0731887
9/1/1976,302.0731887
10/1/1976,302.0731887
11/1/1976,302.0731887
12/1/1976,302.0731887
1/1/1977,302.0731887
2/1/1977,302.073171
3/1/1977,302.0730386
4/1/1977,302.0728688
5/1/1977,302.0726444
6/1/1977,302.0716054
7/1/1977,302.0548199
8/1/1977,302.0213842
9/1/1977,301.9714277
10/1/1977,301.80669
11/1/1977,301.6420454
12/1/1977,301.5802719
1/1/1978,301.5314482
2/1/1978,301.4907238
3/1/1978,301.4676436
4/1/1978,301.4648611
5/1/1978,301.4628741
6/1/1978,301.4610053
7/1/1978,301.4594922
8/1/1978,301.458076
9/1/1978,301.4569121
10/1/1978,301.4559828
11/1/1978,301.4555508
12/1/1978,301.4554239
1/1/1979,301.4553833
2/1/1979,301.4553772
3/1/1979,301.4553755
4/1/1979,301.4553755
5/1/1979,301.4553755
6/1/1979,301.4553755
7/1/1979,301.4553755
8/1/1979,301.4553643
9/1/1979,301.4553438
10/1/1979,301.4553234
11/1/1979,301.4553022
12/1/1979,301.4552768
1/1/1980,301.4552391
2/1/1980,301.4551405
3/1/1980,301.4549862
4/1/1980,301.4546939
5/1/1980,301.4542921
6/1/1980,301.4540348
7/1/1980,301.453966
8/1/1980,301.4539305
9/1/1980,301.4539087
10/1/1980,301.4538903
11/1/1980,301.4538733
12/1/1980,301.4538565
1/1/1981,301.4538386
2/1/1981,301.4538194
3/1/1981,301.4538006
4/1/1981,301.4537774
5/1/1981,301.4537547
6/1/1981,301.4537146
7/1/1981,301.4536341
8/1/1981,301.4535149
9/1/1981,301.4533693
10/1/1981,301.4531214
11/1/1981,301.4526924
12/1/1981,301.4521002
1/1/1982,301.4513732
2/1/1982,301.4505488
3/1/1982,301.4497133
4/1/1982,301.4487335
5/1/1982,301.4478152
6/1/1982,301.4467672
7/1/1982,301.4456803
8/1/1982,301.4444839
9/1/1982,301.4432188
10/1/1982,301.4419256
11/1/1982,301.4405735
12/1/1982,301.4395077
1/1/1983,301.4390496
2/1/1983,301.4389131
3/1/1983,301.4388213
4/1/1983,301.438735
5/1/1983,301.4386753
6/1/1983,301.4386324
7/1/1983,301.4385996
8/1/1983,301.4385698
9/1/1983,301.4385548
10/1/1983,301.4385548
11/1/1983,301.4385548
12/1/1983,301.4385548
1/1/1984,301.4385548
2/1/1984,301.4385548
3/1/1984,301.4385548
4/1/1984,301.4385548
5/1/1984,301.4385548
6/1/1984,301.4385548
7/1/1984,301.4385548
8/1/1984,301.4385548
9/1/1984,301.4385403
10/1/1984,301.4385255
11/1/1984,301.4385101
12/1/1984,301.4384872
1/1/1985,301.4384198
2/1/1985,301.4383184
3/1/1985,301.4381026
4/1/1985,301.4376324
5/1/1985,301.436674
6/1/1985,301.4354333
7/1/1985,301.4339618
8/1/1985,301.4323644
9/1/1985,301.430779
10/1/1985,301.429233
11/1/1985,301.4275958
12/1/1985,301.4259702
1/1/1986,301.4238951
2/1/1986,301.4219962
3/1/1986,301.4203613
4/1/1986,301.4185757
5/1/1986,301.4169267
6/1/1986,301.4155745
7/1/1986,301.4144883
8/1/1986,301.4137552
9/1/1986,301.413322
10/1/1986,301.4131485
11/1/1986,301.4131261
12/1/1986,301.4131181
1/1/1987,301.4131181
2/1/1987,301.4131181
3/1/1987,301.4131181
4/1/1987,301.4131181
5/1/1987,301.4131181
6/1/1987,301.4131181
7/1/1987,301.4131181
8/1/1987,301.4131181
9/1/1987,301.4131168
10/1/1987,301.4131006
11/1/1987,301.4130548
12/1/1987,301.4128881
1/1/1988,301.4124698
2/1/1988,301.4116716
3/1/1988,301.4106962
4/1/1988,301.409524
5/1/1988,301.4081686
6/1/1988,301.405292
7/1/1988,301.387849
8/1/1988,301.3611462
9/1/1988,301.3304597
10/1/1988,301.2653589
11/1/1988,301.1605519
12/1/1988,300.9708517
1/1/1989,300.5571849
2/1/1989,299.69666
3/1/1989,298.8773374
4/1/1989,297.6475396
5/1/1989,296.5715585
6/1/1989,295.5710208
7/1/1989,294.6021468
8/1/1989,293.6614447
9/1/1989,293.0049111
10/1/1989,292.6725794
11/1/1989,292.3485042
12/1/1989,291.7324269
1/1/1990,291.084058
2/1/1990,290.4316759
3/1/1990,290.0828423
4/1/1990,289.7454461
5/1/1990,288.8649564
6/1/1990,287.7091836
7/1/1990,286.7602882
8/1/1990,285.6762258
9/1/1990,284.1713106
10/1/1990,282.9758642
11/1/1990,281.7294873
12/1/1990,280.2279545
1/1/1991,278.482385
2/1/1991,277.4866396
3/1/1991,276.9037197
4/1/1991,276.2757036
5/1/1991,275.4093861
6/1/1991,274.9550245
7/1/1991,274.4654354
8/1/1991,274.0959335
9/1/1991,273.7456213
10/1/1991,273.4316259
11/1/1991,273.1108371
12/1/1991,272.8397137
1/1/1992,272.5936337
2/1/1992,272.2927867
3/1/1992,272.0153496
4/1/1992,271.1480866
5/1/1992,270.1809127
6/1/1992,268.5861665
7/1/1992,267.5465922
8/1/1992,266.2572289
9/1/1992,265.067939
10/1/1992,263.7354736
11/1/1992,262.3727397
12/1/1992,261.1387546
1/1/1993,260.0839212
2/1/1993,259.5405228
3/1/1993,259.1609354
4/1/1993,258.8866725
5/1/1993,258.5610744
6/1/1993,258.2838651
7/1/1993,257.9978217
8/1/1993,257.7159931
9/1/1993,257.4213678
10/1/1993,257.1674552
11/1/1993,256.9140621
12/1/1993,256.6341966
1/1/1994,256.3923973
2/1/1994,256.1781767
3/1/1994,255.9500507
4/1/1994,255.7381189
5/1/1994,255.5280235
6/1/1994,255.3252557
7/1/1994,255.1315965
8/1/1994,254.83216
9/1/1994,254.1513736
10/1/1994,253.3280764
11/1/1994,252.7528314
12/1/1994,252.2385743
1/1/1995,251.8958091
2/1/1995,251.6503057
3/1/1995,251.4383431
4/1/1995,251.2557882
5/1/1995,251.127621
6/1/1995,251.0097985
7/1/1995,250.9141412
8/1/1995,250.8472092
9/1/1995,250.8113768
10/1/1995,250.7860393
11/1/1995,250.7718342
12/1/1995,250.7561952
1/1/1996,250.7422944
2/1/1996,250.7292538
3/1/1996,250.7190914
4/1/1996,250.7094548
5/1/1996,250.7004234
6/1/1996,250.6904093
7/1/1996,250.6803384
8/1/1996,250.6704206
9/1/1996,250.6612794
10/1/1996,250.6529736
11/1/1996,250.6443054
12/1/1996,250.6358782
1/1/1997,250.6273514
2/1/1997,250.6190038
3/1/1997,250.6113861
4/1/1997,250.6028387
5/1/1997,250.5944382
6/1/1997,250.5855129
7/1/1997,250.576486
8/1/1997,250.5661581
9/1/1997,250.5544981
10/1/1997,250.5424023
11/1/1997,250.5299882
12/1/1997,250.518216
1/1/1998,250.5078465
2/1/1998,250.4978289
3/1/1998,250.4887973
4/1/1998,250.4786652
5/1/1998,250.4687368
6/1/1998,250.4583475
7/1/1998,250.448173
8/1/1998,250.4375326
9/1/1998,250.4267672
10/1/1998,250.4162337
11/1/1998,250.405228
12/1/1998,250.3944657
1/1/1999,250.3832279
2/1/1999,250.3718758
3/1/1999,250.361531
4/1/1999,250.3499689
5/1/1999,250.3386804
6/1/1999,250.326913
7/1/1999,250.315432
8/1/1999,250.3034725
9/1/1999,250.2914207
10/1/1999,250.2796744
11/1/1999,250.2674513
12/1/1999,250.2555459
1/1/2000,250.2431652
2/1/2000,250.2307095
3/1/2000,250.2189944
4/1/2000,250.2064026
5/1/2000,250.1941556
6/1/2000,250.1814381
7/1/2000,250.169076
8/1/2000,250.1562476
9/1/2000,250.1433699
10/1/2000,250.1308662
11/1/2000,250.1179068
12/1/2000,250.1053344
1/1/2001,250.0923169
2/1/2001,250.0792812
3/1/2001,250.0674975
4/1/2001,250.0544465
5/1/2001,250.0418178
6/1/2001,250.028775
7/1/2001,250.0161637
8/1/2001,250.003147
9/1/2001,249.9901484
10/1/2001,249.9775878
11/1/2001,249.9646302
12/1/2001,249.9521117
1/1/2002,249.9391993
2/1/2002,249.9263107
3/1/2002,249.914689
4/1/2002,249.9018459
5/1/2002,249.889439
6/1/2002,249.8766414
7/1/2002,249.8642771
8/1/2002,249.8515214
9/1/2002,249.8387854
10/1/2002,249.8264775
11/1/2002,249.8137765
12/1/2002,249.8015001
1/1/2003,249.7888291
2/1/2003,249.7761716
3/1/2003,249.7647492
4/1/2003,249.7521146
5/1/2003,249.7398975
6/1/2003,249.727283
7/1/2003,249.7150841
8/1/2003,249.7024873
9/1/2003,249.6898986
10/1/2003,249.6777234
11/1/2003,249.6651498
12/1/2003,249.6529886
1/1/2004,249.6404291
2/1/2004,249.6278765
3/1/2004,249.6161396
4/1/2004,249.6036001
5/1/2004,249.5914713
6/1/2004,249.578945
7/1/2004,249.5668294
8/1/2004,249.5543169
9/1/2004,249.5418119
10/1/2004,249.5297174
11/1/2004,249.5172278
12/1/2004,249.505149
1/1/2005,249.4926763
2/1/2005,249.4802127
3/1/2005,249.468963
4/1/2005,249.4565179
5/1/2005,249.4444836
6/1/2005,249.4320586
7/1/2005,249.4200443
8/1/2005,249.4076403
9/1/2005,249.3952473
10/1/2005,249.3832647
11/1/2005,249.3708944
12/1/2005,249.3589346
1/1/2006,249.3465886
2/1/2006,249.3342559
3/1/2006,249.323128
4/1/2006,249.3108228
5/1/2006,249.29893
6/1/2006,249.286659
7/1/2006,249.2748026
8/1/2006,249.2625742
9/1/2006,249.2503723
10/1/2006,249.2385925
11/1/2006,249.2264542
12/1/2006,249.2147424
1/1/2007,249.20268
2/1/2007,249.1906595
3/1/2007,249.1798377
4/1/2007,249.1679011
5/1/2007,249.156392
6/1/2007,249.1445453
7/1/2007,249.133124
8/1/2007,249.1213681
9/1/2007,249.109658
10/1/2007,249.0983679
11/1/2007,249.0867457
12/1/2007,249.075539
1/1/2008,249.064001
2/1/2008,249.0525039
3/1/2008,249.0417833
4/1/2008,249.0303615
5/1/2008,249.0193426
6/1/2008,249.0079913
7/1/2008,248.9970376
8/1/2008,248.9857504
9/1/2008,248.9744931
10/1/2008,248.9636254
11/1/2008,248.9524217
12/1/2008,248.9416025
1/1/2009,248.9304454
2/1/2009,248.9193094
3/1/2009,248.9092669
4/1/2009,248.8981662
5/1/2009,248.8874045
6/1/2009,248.8763137
7/1/2009,248.8656124
8/1/2009,248.8545657
9/1/2009,248.843529
10/1/2009,248.8328561
11/1/2009,248.8218345
12/1/2009,248.8111738
1/1/2010,248.8001619
2/1/2010,248.7891531
3/1/2010,248.7792111
4/1/2010,248.7682047
5/1/2010,248.7575529
6/1/2010,248.7465445
7/1/2010,248.7358891
8/1/2010,248.7248751
9/1/2010,248.713857
10/1/2010,248.7031897
11/1/2010,248.6921612
12/1/2010,248.6814826
1/1/2011,248.6704411
2/1/2011,248.6593921
3/1/2011,248.6494059
4/1/2011,248.6383412
5/1/2011,248.6276251
6/1/2011,248.6165423
7/1/2011,248.6058079
8/1/2011,248.5947055
9/1/2011,248.5835927
10/1/2011,248.5728283
11/1/2011,248.5616942
12/1/2011,248.550909
1/1/2012,248.5397533
2/1/2012,248.528587
3/1/2012,248.5181319
4/1/2012,248.5069457
5/1/2012,248.4961115
6/1/2012,248.484907
7/1/2012,248.4740562
8/1/2012,248.4628358
9/1/2012,248.4516083
10/1/2012,248.4407368
11/1/2012,248.4294971
12/1/2012,248.418615
1/1/2013,248.4073052
2/1/2013,248.3960308
3/1/2013,248.3858628
4/1/2013,248.374602
5/1/2013,248.3637015
6/1/2013,248.352279
7/1/2013,248.340893
8/1/2013,248.3284124
9/1/2013,248.3143475
10/1/2013,248.2936741
11/1/2013,248.2578828
12/1/2013,248.2047769
1/1/2014,248.1388357
2/1/2014,248.0664066
3/1/2014,247.9959064
4/1/2014,247.9173803
5/1/2014,247.842365
6/1/2014,247.7644435
7/1/2014,247.6901307
8/1/2014,247.6152086
9/1/2014,247.5433457
10/1/2014,247.4757559
11/1/2014,247.4028295
12/1/2014,247.3342854
1/1/2015,247.257927
2/1/2015,247.1844133
3/1/2015,247.1192092
4/1/2015,247.0455079
5/1/2015,246.9772083
6/1/2015,246.9082954
7/1/2015,246.8371807
8/1/2015,246.761173
9/1/2015,246.6798002
10/1/2015,246.5904423
11/1/2015,246.4703476
12/1/2015,246.3218342
1/1/2016,246.1810785
2/1/2016,246.0812376
3/1/2016,245.9852854
4/1/2016,245.874972
5/1/2016,245.7641935
6/1/2016,245.3918507
7/1/2016,245.0185648
8/1/2016,244.4665191
9/1/2016,243.5877165
10/1/2016,242.5705823
11/1/2016,241.2830806
12/1/2016,240.0844804
1/1/2017,239.3032094
2/1/2017,238.9705479
3/1/2017,238.7335168
4/1/2017,238.5748885
5/1/2017,238.4711143
6/1/2017,238.3702297
7/1/2017,238.279842
8/1/2017,238.1924394
9/1/2017,238.1104037
10/1/2017,238.0352232
11/1/2017,237.9605044
12/1/2017,237.8911335
1/1/2018,237.8211961
2/1/2018,237.7537926
3/1/2018,237.6951619
4/1/2018,237.6337271
5/1/2018,237.5774968
6/1/2018,237.5189266
7/1/2018,237.388265
8/1/2018,237.2368042
9/1/2018,237.0218954
10/1/2018,236.3905423
11/1/2018,235.5912495
12/1/2018,234.8205287
1/1/2019,234.4413842
2/1/2019,234.2115556
3/1/2019,234.0529266
4/1/2019,233.9183173
5/1/2019,233.8165996
6/1/2019,233.694335
7/1/2019,233.579997
8/1/2019,233.4758744
9/1/2019,233.3918745
10/1/2019,233.315529
11/1/2019,233.2476614
12/1/2019,233.1929411
1/1/2020,233.136427
2/1/2020,233.0780408
3/1/2020,232.9820853
4/1/2020,232.4444603
5/1/2020,231.935496
6/1/2020,231.6758282
7/1/2020,231.5218019
8/1/2020,231.4118181
9/1/2020,231.3315756
10/1/2020,231.2603646
11/1/2020,231.2143972
12/1/2020,231.1725603
1/1/2021,231.1286198
2/1/2021,231.0835596
3/1/2021,231.0389892
4/1/2021,230.9879491
5/1/2021,230.9370483
6/1/2021,230.8763856
7/1/2021,230.7987796
8/1/2021,230.687275
9/1/2021,230.5187734
10/1/2021,230.2563351
11/1/2021,229.7024696
12/1/2021,228.9318111
1/1/2022,228.3852898
2/1/2022,227.9816682
3/1/2022,227.7455289
4/1/2022,227.5536182
5/1/2022,227.3886424
6/1/2022,227.0781042
7/1/2022,226.4375221
8/1/2022,225.4439493
9/1/2022,224.0778339
10/1/2022,222.6380067
11/1/2022,221.0375754
12/1/2022,219.365217
1/1/2023,218.1000931
2/1/2023,217.4610523
3/1/2023,217.0513542
4/1/2023,216.7030814
5/1/2023,216.4673218
6/1/2023,216.3005849
7/1/2023,216.1623996
8/1/2023,216.0389548
9/1/2023,215.9317939
10/1/2023,215.8467658
11/1/2023,215.77452
12/1/2023,215.7273731
1/1/2024,215.7023751
2/1/2024,215.6804765
3/1/2024,215.6617569
4/1/2024,215.6426341
5/1/2024,215.6242496
6/1/2024,215.6051977
7/1/2024,215.5866917
8/1/2024,215.5674895
9/1/2024,215.5482061
10/1/2024,215.5294682
11/1/2024,215.5100243
12/1/2024,215.4911338
1/1/2025,215.4715353
2/1/2025,215.4518584
