datetime,layer 3 (Lower Aquifer)
09/01/1957,-119.9679465
10/01/1957,-120.3763439
11/01/1957,-122.0138671
12/01/1957,-124.1764648
01/01/1958,-126.4401127
02/01/1958,-127.4069884
03/01/1958,-128.071689
04/01/1958,-128.6058786
05/01/1958,-128.965536
06/01/1958,-129.2505681
07/01/1958,-129.4161956
08/01/1958,-129.5987964
09/01/1958,-129.7864779
10/01/1958,-129.9955555
11/01/1958,-130.1921071
12/01/1958,-130.400084
01/01/1959,-130.5531568
02/01/1959,-130.686318
03/01/1959,-130.8206388
04/01/1959,-130.9418875
05/01/1959,-131.0660144
06/01/1959,-131.1833731
07/01/1959,-131.3235168
08/01/1959,-131.4574257
09/01/1959,-131.5628202
10/01/1959,-131.7139859
11/01/1959,-131.8748412
12/01/1959,-131.9653277
01/01/1960,-132.1194036
02/01/1960,-132.2392366
03/01/1960,-132.3024854
04/01/1960,-132.407719
05/01/1960,-132.5396834
06/01/1960,-132.6319028
07/01/1960,-132.7123974
08/01/1960,-132.7941253
09/01/1960,-132.8943158
10/01/1960,-132.9942118
11/01/1960,-133.2177535
12/01/1960,-133.4008416
01/01/1961,-133.4993485
02/01/1961,-133.5880734
03/01/1961,-133.647407
04/01/1961,-133.7598038
05/01/1961,-133.855492
06/01/1961,-133.9684589
07/01/1961,-134.1286772
08/01/1961,-134.3345114
09/01/1961,-134.761202
10/01/1961,-135.555446
11/01/1961,-136.5662401
12/01/1961,-137.0659234
01/01/1962,-137.5656881
02/01/1962,-138.0448025
03/01/1962,-138.4599577
04/01/1962,-138.8508572
05/01/1962,-139.8664887
06/01/1962,-140.4394871
07/01/1962,-140.7642799
08/01/1962,-141.1156636
09/01/1962,-141.5246757
10/01/1962,-143.0210795
11/01/1962,-144.0343728
12/01/1962,-144.8469545
01/01/1963,-145.498713
02/01/1963,-146.2353054
03/01/1963,-146.7045573
04/01/1963,-147.1952832
05/01/1963,-147.6504983
06/01/1963,-148.5533417
07/01/1963,-149.2155989
08/01/1963,-149.8889092
09/01/1963,-150.3476561
10/01/1963,-150.841389
11/01/1963,-152.2378499
12/01/1963,-153.439939
01/01/1964,-154.435476
02/01/1964,-155.1271404
03/01/1964,-155.6955083
04/01/1964,-156.3007433
05/01/1964,-156.9123796
06/01/1964,-157.2330881
07/01/1964,-157.4236711
08/01/1964,-158.5205405
09/01/1964,-159.7012946
10/01/1964,-160.1067498
11/01/1964,-160.7792197
12/01/1964,-162.184351
01/01/1965,-163.3201053
02/01/1965,-164.208445
03/01/1965,-164.8619592
04/01/1965,-165.4968259
05/01/1965,-166.6209421
06/01/1965,-167.4971998
07/01/1965,-168.074297
08/01/1965,-168.6097953
09/01/1965,-169.228029
10/01/1965,-169.6899853
11/01/1965,-170.2180295
12/01/1965,-170.7083797
01/01/1966,-171.0104889
02/01/1966,-171.29863
03/01/1966,-171.505482
04/01/1966,-171.6251786
05/01/1966,-171.80521
06/01/1966,-171.9725713
07/01/1966,-172.0557203
08/01/1966,-172.1731204
09/01/1966,-172.3009485
10/01/1966,-172.4265033
11/01/1966,-172.5336349
12/01/1966,-172.6466117
01/01/1967,-172.7634832
02/01/1967,-172.8785872
03/01/1967,-172.9815613
04/01/1967,-173.092008
05/01/1967,-173.1995721
06/01/1967,-173.2733603
07/01/1967,-173.376995
08/01/1967,-173.4806071
09/01/1967,-173.564873
10/01/1967,-173.6362969
11/01/1967,-173.7170574
12/01/1967,-173.795809
01/01/1968,-173.9326234
02/01/1968,-174.0098186
03/01/1968,-174.0678029
04/01/1968,-174.1484503
05/01/1968,-174.198987
06/01/1968,-174.2473083
07/01/1968,-174.2880794
08/01/1968,-174.3215233
09/01/1968,-174.3506846
10/01/1968,-174.3779553
11/01/1968,-174.3893675
12/01/1968,-174.4000071
01/01/1969,-174.4259608
02/01/1969,-174.4293528
03/01/1969,-174.4503327
04/01/1969,-174.4725585
05/01/1969,-174.493536
06/01/1969,-174.514572
07/01/1969,-174.5344741
08/01/1969,-174.569916
09/01/1969,-174.5890965
10/01/1969,-174.6220882
11/01/1969,-174.6136374
12/01/1969,-174.6290703
01/01/1970,-174.6440038
02/01/1970,-174.658124
03/01/1970,-174.6454221
04/01/1970,-174.6589952
05/01/1970,-174.6563844
06/01/1970,-174.6691109
07/01/1970,-174.6808811
08/01/1970,-174.6925365
09/01/1970,-174.7036783
10/01/1970,-174.7139591
11/01/1970,-174.6993413
12/01/1970,-174.708666
01/01/1971,-174.7177027
02/01/1971,-174.7106882
03/01/1971,-174.7178517
04/01/1971,-174.7252109
05/01/1971,-174.7318151
06/01/1971,-174.7381224
07/01/1971,-174.7437776
08/01/1971,-174.7491709
09/01/1971,-174.7541458
10/01/1971,-174.7586
11/01/1971,-174.7628254
12/01/1971,-174.766578
01/01/1972,-174.7459901
02/01/1972,-174.7493788
03/01/1972,-174.7522965
04/01/1972,-174.7551564
05/01/1972,-174.7577238
06/01/1972,-174.7601843
07/01/1972,-174.7624017
08/01/1972,-174.7645233
09/01/1972,-174.7664827
10/01/1972,-174.7682469
11/01/1972,-174.7699473
12/01/1972,-174.7714858
01/01/1973,-174.7729711
02/01/1973,-174.7743585
03/01/1973,-174.7755427
04/01/1973,-174.7767817
05/01/1973,-174.7779222
06/01/1973,-174.7790391
07/01/1973,-174.7800656
08/01/1973,-174.7810729
09/01/1973,-174.7820288
10/01/1973,-174.7829087
11/01/1973,-174.7837745
12/01/1973,-174.7845712
01/01/1974,-174.78535
02/01/1974,-174.786084
03/01/1974,-174.7867099
04/01/1974,-174.7873604
05/01/1974,-174.7879506
06/01/1974,-174.7885181
07/01/1974,-174.7890333
08/01/1974,-174.7895317
09/01/1974,-174.7899959
10/01/1974,-174.790414
11/01/1974,-174.7908197
12/01/1974,-174.7911876
01/01/1975,-174.7915411
02/01/1975,-174.7918675
03/01/1975,-174.7921401
04/01/1975,-174.7924157
05/01/1975,-174.7926605
06/01/1975,-174.7928921
07/01/1975,-174.7930986
08/01/1975,-174.793293
09/01/1975,-174.7934682
10/01/1975,-174.7936226
11/01/1975,-174.7937721
12/01/1975,-174.7939114
01/01/1976,-174.7940503
02/01/1976,-174.7941839
03/01/1976,-174.7943043
04/01/1976,-174.7944276
05/01/1976,-174.7945418
06/01/1976,-174.7946544
07/01/1976,-174.7947581
08/01/1976,-174.7948596
09/01/1976,-174.7949555
10/01/1976,-174.7950428
11/01/1976,-174.7951273
12/01/1976,-174.7952036
01/01/1977,-174.7952766
02/01/1977,-174.7953436
03/01/1977,-174.7953992
04/01/1977,-174.7954555
05/01/1977,-174.7955077
06/01/1977,-174.7955594
07/01/1977,-174.7956071
08/01/1977,-174.7956539
09/01/1977,-174.7956983
10/01/1977,-174.7957389
11/01/1977,-174.7957784
12/01/1977,-174.7958142
01/01/1978,-174.7958487
02/01/1978,-174.7958806
03/01/1978,-174.7959072
04/01/1978,-174.7959342
05/01/1978,-174.7959578
06/01/1978,-174.7959795
07/01/1978,-174.7959981
08/01/1978,-174.7960146
09/01/1978,-174.7960284
10/01/1978,-174.7960392
11/01/1978,-174.7960478
12/01/1978,-174.7960534
01/01/1979,-174.7960566
02/01/1979,-174.7960571
03/01/1979,-174.7960571
04/01/1979,-174.7960571
05/01/1979,-174.7960571
06/01/1979,-174.7960571
07/01/1979,-174.7960571
08/01/1979,-174.7960571
09/01/1979,-174.7960571
10/01/1979,-174.7960571
11/01/1979,-174.7960571
12/01/1979,-174.7960571
01/01/1980,-174.7960571
02/01/1980,-174.7960571
03/01/1980,-174.7960571
04/01/1980,-174.7960571
05/01/1980,-174.7960571
06/01/1980,-174.7960571
07/01/1980,-174.7960571
08/01/1980,-174.7960571
09/01/1980,-174.7960571
10/01/1980,-174.7960571
11/01/1980,-174.7960571
12/01/1980,-174.7960571
01/01/1981,-174.7960571
02/01/1981,-174.7960571
03/01/1981,-174.7960571
04/01/1981,-174.7960571
05/01/1981,-174.7960571
06/01/1981,-174.7960571
07/01/1981,-174.7960571
08/01/1981,-174.7960571
09/01/1981,-174.7960571
10/01/1981,-174.7960571
11/01/1981,-174.7960571
12/01/1981,-174.7960571
01/01/1982,-174.7960571
02/01/1982,-174.7960571
03/01/1982,-174.7960571
04/01/1982,-174.7960571
