datetime,Mean CH - layer 2 (Intermediate Aquifer)
11/1/1947,40.73675483
12/1/1947,40.72208406
1/1/1948,40.71267845
2/1/1948,40.70191651
3/1/1948,40.70034913
4/1/1948,40.69206842
5/1/1948,40.6842851
6/1/1948,40.6745944
7/1/1948,40.66441169
8/1/1948,40.65348211
9/1/1948,40.64712038
10/1/1948,40.64156224
11/1/1948,40.63246829
12/1/1948,40.62332783
1/1/1949,40.61423266
2/1/1949,40.60572654
3/1/1949,40.59845149
4/1/1949,40.59087159
5/1/1949,40.58399718
6/1/1949,40.57729044
7/1/1949,40.5663701
8/1/1949,40.56010064
9/1/1949,40.55389354
10/1/1949,40.54783115
11/1/1949,40.54124058
12/1/1949,40.53470643
1/1/1950,40.52782793
2/1/1950,40.52076291
3/1/1950,40.51423567
4/1/1950,40.50687065
5/1/1950,40.49961923
6/1/1950,40.49199938
7/1/1950,40.48450516
8/1/1950,40.47665913
9/1/1950,40.46873774
10/1/1950,40.461048
11/1/1950,40.45328198
12/1/1950,40.44570465
1/1/1951,40.43776894
2/1/1951,40.42973019
3/1/1951,40.42239194
4/1/1951,40.41417519
5/1/1951,40.40613735
6/1/1951,40.39774428
7/1/1951,40.38953901
8/1/1951,40.38097147
9/1/1951,40.37232089
10/1/1951,40.363877
11/1/1951,40.35508062
12/1/1951,40.34650725
1/1/1952,40.33757837
2/1/1952,40.32857034
3/1/1952,40.32011045
4/1/1952,40.31103621
5/1/1952,40.30223185
6/1/1952,40.29311622
7/1/1952,40.28428386
8/1/1952,40.27514596
9/1/1952,40.26599617
10/1/1952,40.25713446
11/1/1952,40.24787186
12/1/1952,40.22043385
1/1/1953,40.19843872
2/1/1953,40.18458844
3/1/1953,40.17447194
4/1/1953,40.16534675
5/1/1953,40.15655376
6/1/1953,40.14752525
7/1/1953,40.13882682
8/1/1953,40.12988327
9/1/1953,40.12094303
10/1/1953,40.1123278
11/1/1953,40.10345727
12/1/1953,40.09491185
1/1/1954,40.08610614
2/1/1954,40.07735902
3/1/1954,40.07405433
4/1/1954,40.0698471
5/1/1954,40.06138275
6/1/1954,40.05326113
7/1/1954,40.04480497
8/1/1954,40.03606753
9/1/1954,40.02724867
10/1/1954,40.01861696
11/1/1954,40.01022726
12/1/1954,40.00128843
1/1/1955,39.99174597
2/1/1955,39.98264079
3/1/1955,39.97444287
4/1/1955,39.96534441
5/1/1955,39.9609103
6/1/1955,39.95172726
7/1/1955,39.9471267
8/1/1955,39.93778062
9/1/1955,39.9284032
10/1/1955,39.9192332
11/1/1955,39.90969871
12/1/1955,39.89686216
1/1/1956,39.88490386
2/1/1956,39.86984695
3/1/1956,39.8587331
4/1/1956,39.84840576
5/1/1956,39.8363941
6/1/1956,39.82192571
7/1/1956,39.80337659
8/1/1956,39.78581402
9/1/1956,39.77065044
10/1/1956,39.76073852
11/1/1956,39.75938889
12/1/1956,39.73639683
1/1/1957,39.72594592
2/1/1957,39.71541505
3/1/1957,39.7101243
4/1/1957,39.69939309
5/1/1957,39.68892227
6/1/1957,39.69100864
7/1/1957,39.6805199
8/1/1957,39.66708641
9/1/1957,39.64412675
10/1/1957,39.60885374
11/1/1957,39.58230686
12/1/1957,39.57158252
1/1/1958,39.5568401
2/1/1958,39.53958402
3/1/1958,39.52763117
