datetime,Mean CH - layer 3 (Pliocene)
1/1/1923,468.4558479
2/1/1923,468.0078339
3/1/1923,467.7206974
4/1/1923,467.4031288
5/1/1923,467.0961372
6/1/1923,466.7792815
7/1/1923,466.4729965
8/1/1923,466.0209371
9/1/1923,465.704082
10/1/1923,465.3977768
11/1/1923,465.0815921
12/1/1923,464.7758961
1/1/1924,464.4602953
2/1/1924,464.1449554
3/1/1924,463.8501685
4/1/1924,463.5352657
5/1/1924,463.2307002
6/1/1924,462.9161498
7/1/1924,462.6118804
8/1/1924,462.2975857
9/1/1924,461.8396003
10/1/1924,461.5349396
11/1/1924,461.2201497
12/1/1924,460.9155018
1/1/1925,460.6006419
2/1/1925,460.2856787
3/1/1925,460.0010771
4/1/1925,459.685791
5/1/1925,459.3804567
6/1/1925,459.0646712
7/1/1925,458.7587852
8/1/1925,458.4423683
9/1/1925,458.1255954
10/1/1925,457.8186943
11/1/1925,457.5011838
12/1/1925,457.193556
1/1/1926,456.8752873
2/1/1926,456.5566299
3/1/1926,456.2684907
4/1/1926,455.9490812
5/1/1926,455.639593
6/1/1926,455.3193657
7/1/1926,455.0090555
8/1/1926,454.6879391
9/1/1926,454.3663371
10/1/1926,454.0546343
11/1/1926,453.7320147
12/1/1926,453.4192954
1/1/1927,453.0956031
2/1/1927,452.7713619
3/1/1927,452.4780567
4/1/1927,452.1528003
5/1/1927,451.8375654
6/1/1927,451.5113517
7/1/1927,451.1952539
8/1/1927,450.8682279
9/1/1927,450.5408567
10/1/1927,450.223767
11/1/1927,449.8958589
12/1/1927,449.578339
1/1/1928,449.2500767
2/1/1928,448.9216944
3/1/1928,448.6144195
4/1/1928,448.2858885
5/1/1928,447.9679113
6/1/1928,447.6393008
7/1/1928,447.3212655
8/1/1928,446.9926048
9/1/1928,446.6639173
10/1/1928,446.3458002
11/1/1928,446.0170304
12/1/1928,445.6988027
1/1/1929,445.3698746
2/1/1929,445.0408247
3/1/1929,444.7434958
4/1/1929,444.4141272
5/1/1929,444.0951819
6/1/1929,443.7653577
7/1/1929,443.4459135
8/1/1929,443.1155159
9/1/1929,442.7847884
10/1/1929,442.4644016
11/1/1929,442.132969
12/1/1929,441.8118744
1/1/1930,441.4796927
2/1/1930,441.1471236
3/1/1930,440.8464211
4/1/1930,440.5131089
5/1/1930,440.190177
6/1/1930,439.8560742
7/1/1930,439.5323541
8/1/1930,439.1974003
9/1/1930,438.8619753
10/1/1930,438.5368983
11/1/1930,438.2004419
12/1/1930,437.8742898
1/1/1931,437.5366318
2/1/1931,437.1982888
3/1/1931,436.8920918
4/1/1931,436.5523051
5/1/1931,436.2227024
6/1/1931,435.8812415
7/1/1931,435.5499491
8/1/1931,434.8926272
9/1/1931,434.5501908
10/1/1931,434.2179418
11/1/1931,433.8737199
12/1/1931,433.5397898
1/1/1932,433.1939033
2/1/1932,432.8472403
3/1/1932,432.5223061
4/1/1932,432.4922639
5/1/1932,432.1553908
6/1/1932,431.8067004
7/1/1932,431.4687562
8/1/1932,431.1190647
9/1/1932,430.7689415
10/1/1932,430.4297516
11/1/1932,430.078913
12/1/1932,429.7391042
1/1/1933,429.3876906
2/1/1933,429.0360193
3/1/1933,428.7181783
4/1/1933,428.3660341
5/1/1933,428.025005
6/1/1933,427.6723215
7/1/1933,427.3307118
8/1/1933,426.9773413
9/1/1933,426.6235353
10/1/1933,426.0895085
11/1/1933,425.7339686
12/1/1933,425.3892781
1/1/1934,425.0323426
2/1/1934,424.6745526
3/1/1934,424.3506132
4/1/1934,423.9909073
5/1/1934,423.6417089
6/1/1934,423.2795799
7/1/1934,422.9278099
8/1/1934,422.5627714
9/1/1934,422.1960552
10/1/1934,421.8394719
11/1/1934,421.4690501
12/1/1934,421.1086211
1/1/1935,420.3964968
2/1/1935,420.0190564
3/1/1935,419.6760968
4/1/1935,419.2937661
5/1/1935,418.9212145
6/1/1935,418.5334268
7/1/1935,418.1554422
8/1/1935,417.7619108
9/1/1935,417.3653917
10/1/1935,416.9788444
11/1/1935,416.5763958
12/1/1935,416.1841136
1/1/1936,415.7757748
2/1/1936,415.3644947
3/1/1936,414.977216
4/1/1936,414.5603922
5/1/1936,414.1544147
6/1/1936,413.7321916
7/1/1936,413.3211029
8/1/1936,412.8937137
9/1/1936,412.4637789
10/1/1936,412.0453725
11/1/1936,411.6105666
12/1/1936,411.1875339
1/1/1937,410.7480499
2/1/1937,410.3062827
3/1/1937,409.9054645
4/1/1937,409.459592
5/1/1937,409.0262356
6/1/1937,408.5765805
7/1/1937,408.1398374
8/1/1937,407.687008
9/1/1937,407.2328349
10/1/1937,406.792228
11/1/1937,406.3359722
12/1/1937,405.8937114
1/1/1938,405.4361306
2/1/1938,404.9781608
3/1/1938,404.5643282
4/1/1938,404.1061082
5/1/1938,403.6627749
6/1/1938,403.2049318
7/1/1938,402.7622391
8/1/1938,402.3053267
9/1/1938,401.8490649
10/1/1938,401.4082189
11/1/1938,400.9535023
12/1/1938,400.5142813
1/1/1939,400.0613464
2/1/1939,399.609364
3/1/1939,399.2019074
4/1/1939,398.7517551
5/1/1939,398.3170096
6/1/1939,397.8686924
7/1/1939,397.4356664
8/1/1939,396.9890478
9/1/1939,396.9220513
10/1/1939,396.4923718
11/1/1939,396.0490467
12/1/1939,395.6206
1/1/1940,395.178424
2/1/1940,394.736734
3/1/1940,394.3239108
4/1/1940,393.8829735
5/1/1940,393.4565329
6/1/1940,393.0161021
7/1/1940,392.5900287
8/1/1940,392.1498469
9/1/1940,391.7096939
10/1/1940,391.2837073
11/1/1940,390.8434224
12/1/1940,390.4171892
1/1/1941,389.9765227
2/1/1941,389.535567
3/1/1941,389.137002
4/1/1941,388.4622029
5/1/1941,388.0339552
6/1/1941,387.5909052
7/1/1941,387.1616011
8/1/1941,386.7173482
9/1/1941,386.2724034
