Aquifer,Upper,Lower,Upper,Lower,Upper,Lower,Upper,Lower,Upper,Lower,Upper,Lower,Upper,Lower,,,,
Scenario,No SGMA,,Historical lows,,MT (glidepath not below MT),,MT (glidepath 50% below MT),,No pumping (current level),,Injection (rebound @2020-23 rate),,Optimization,,,,,
Date,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,WL_alt,,,,
2027-03-01 00:00:00,131.3680925,-8.579019152,131.3680925,-6.838666667,119.5968687,22.70322105,,,,,220.67,124.770125,,,,,,
2027-04-01 00:00:00,131.0843875,-9.328506156,131.0843875,-6.838666667,119.0260606,22.7992,,,,,220.67,127.6246689,,,,,,
2027-05-01 00:00:00,130.8006824,-10.07799316,130.8006824,-6.838666667,118.4552525,22.89517895,,,,,220.67,130.4792128,,,,,,
2027-06-01 00:00:00,130.5169774,-10.82748016,130.5169774,-6.838666667,117.8844444,22.99115789,,,,,220.67,133.3337568,,,,,,
2027-07-01 00:00:00,130.2332723,-11.57696717,130.2332723,-6.838666667,117.3136364,23.08713684,,,,,220.67,136.1883007,,,,,,
2027-08-01 00:00:00,129.9495672,-12.32645417,129.9495672,-6.838666667,116.7428283,23.18311579,,,,,220.67,139.0428446,,,,,,
2027-09-01 00:00:00,129.6658622,-13.07594118,129.6658622,-6.838666667,116.1720202,23.27909474,,,,,220.67,141.8973885,,,,,,
2027-10-01 00:00:00,129.3821571,-13.82542818,129.3821571,-6.838666667,115.6012121,23.37507368,,,,,220.67,144.7519324,,,,,,
2027-11-01 00:00:00,129.0984521,-14.57491518,129.0984521,-6.838666667,115.030404,23.47105263,,,,,220.67,147.6064764,,,,,,
2027-12-01 00:00:00,128.814747,-15.32440219,128.814747,-6.838666667,114.459596,23.56703158,,,,,220.67,150.4610203,,,,,,
2028-01-01 00:00:00,128.5310419,-16.07388919,128.5310419,-6.838666667,113.8887879,23.66301053,,,,,220.67,153.3155642,,,,,,
2028-02-01 00:00:00,128.2473369,-16.8233762,128.2473369,-6.838666667,113.3179798,23.75898947,,,,,220.67,156.1701081,,,,,,
2028-03-01 00:00:00,127.9636318,-17.5728632,127.9636318,-6.838666667,112.7471717,23.85496842,,,,,220.67,159.024652,,,,,,
2028-04-01 00:00:00,127.6799268,-18.32235021,127.6799268,-6.838666667,112.1763636,23.95094737,,,,,220.67,161.8791959,,,,,,
2028-05-01 00:00:00,127.3962217,-19.07183721,127.3962217,-6.838666667,111.6055556,24.04692632,,,,,220.67,164.7337399,,,,,,
2028-06-01 00:00:00,127.1125166,-19.82132421,127.1125166,-6.838666667,111.0347475,24.14290526,,,,,220.67,167.5882838,,,,,,
2028-07-01 00:00:00,126.8288116,-20.57081122,126.8288116,-6.838666667,110.4639394,24.23888421,,,,,220.67,170.4428277,,,,,,
2028-08-01 00:00:00,126.5451065,-21.32029822,126.5451065,-6.838666667,109.8931313,24.33486316,,,,,220.67,173.2973716,,,,,,
2028-09-01 00:00:00,126.2614015,-22.06978523,126.2614015,-6.838666667,109.3223232,24.43084211,,,,,220.67,176.1519155,,,,,,
2028-10-01 00:00:00,125.9776964,-22.81927223,125.9776964,-6.838666667,108.7515152,24.52682105,,,,,220.67,179.0064595,,,,,,
2028-11-01 00:00:00,125.6939913,-23.56875923,125.6939913,-6.838666667,108.1807071,24.6228,,,,,220.67,181.8610034,,,,,,
2028-12-01 00:00:00,125.4102863,-24.31824624,125.4102863,-6.838666667,107.609899,24.71877895,,,,,220.67,184.7155473,,,,,,
2029-01-01 00:00:00,125.1265812,-25.06773324,125.1265812,-6.838666667,107.0390909,24.81475789,,,,,220.67,187.5700912,,,,,,
2029-02-01 00:00:00,124.8428762,-25.81722025,124.8428762,-6.838666667,106.4682828,24.91073684,,,,,220.67,190.4246351,,,,,,
2029-03-01 00:00:00,124.5591711,-26.56670725,124.5591711,-6.838666667,105.8974747,25.00671579,,,,,220.67,193.2791791,,,,,,
2029-04-01 00:00:00,124.275466,-27.31619425,124.275466,-6.838666667,105.3266667,25.10269474,,,,,220.67,194.1366667,,,,,,
2029-05-01 00:00:00,123.991761,-28.06568126,123.991761,-6.838666667,104.7558586,25.19867368,,,,,220.67,194.1366667,,,,,,
2029-06-01 00:00:00,123.7080559,-28.81516826,123.7080559,-6.838666667,104.1850505,25.29465263,,,,,220.67,194.1366667,,,,,,
2029-07-01 00:00:00,123.4243509,-29.56465527,123.4243509,-6.838666667,103.6142424,25.39063158,,,,,220.67,194.1366667,,,,,,
2029-08-01 00:00:00,123.1406458,-30.31414227,123.1406458,-6.838666667,103.0434343,25.48661053,,,,,220.67,194.1366667,,,,,,
2029-09-01 00:00:00,122.8569407,-31.06362927,122.8569407,-6.838666667,102.4726263,25.58258947,,,,,220.67,194.1366667,,,,,,
2029-10-01 00:00:00,122.5732357,-31.81311628,122.5732357,-6.838666667,101.9018182,25.67856842,,,,,220.67,194.1366667,,,,,,
2029-11-01 00:00:00,122.2895306,-32.56260328,122.2895306,-6.838666667,101.3310101,25.77454737,,,,,220.67,194.1366667,,,,,,
2029-12-01 00:00:00,122.0058256,-33.31209029,122.0058256,-6.838666667,100.760202,25.87052632,,,,,220.67,194.1366667,,,,,,
2030-01-01 00:00:00,121.7221205,-34.06157729,121.7221205,-6.838666667,100.1893939,25.96650526,,,,,220.67,194.1366667,,,,,,
2030-02-01 00:00:00,121.4384154,-34.8110643,121.4384154,-6.838666667,99.61858586,26.06248421,,,,,220.67,194.1366667,,,,,,
2030-03-01 00:00:00,121.1547104,-35.5605513,121.1547104,-6.838666667,99.04777778,26.15846316,,,,,220.67,194.1366667,,,,,,
2030-04-01 00:00:00,120.8710053,-36.3100383,120.8710053,-6.838666667,98.4769697,26.25444211,,,,,220.67,194.1366667,,,,,,
2030-05-01 00:00:00,120.5873003,-37.05952531,120.5873003,-6.838666667,97.90616162,26.35042105,,,,,220.67,194.1366667,,,,,,
2030-06-01 00:00:00,120.3035952,-37.80901231,120.3035952,-6.838666667,97.33535354,26.4464,,,,,220.67,194.1366667,,,,,,
2030-07-01 00:00:00,120.0198901,-38.55849932,120.0198901,-6.838666667,96.76454545,26.54237895,,,,,220.67,194.1366667,,,,,,
2030-08-01 00:00:00,119.7361851,-39.30798632,119.7361851,-6.838666667,96.19373737,26.63835789,,,,,220.67,194.1366667,,,,,,
2030-09-01 00:00:00,119.45248,-40.05747332,119.45248,-6.838666667,95.62292929,26.73433684,,,,,220.67,194.1366667,,,,,,
2030-10-01 00:00:00,119.168775,-40.80696033,119.168775,-6.838666667,95.05212121,26.83031579,,,,,220.67,194.1366667,,,,,,
2030-11-01 00:00:00,118.8850699,-41.55644733,118.8850699,-6.838666667,94.48131313,26.92629474,,,,,220.67,194.1366667,,,,,,
2030-12-01 00:00:00,118.6013648,-42.30593434,118.6013648,-6.838666667,93.91050505,27.02227368,,,,,220.67,194.1366667,,,,,,
2031-01-01 00:00:00,118.3176598,-43.05542134,118.3176598,-6.838666667,93.33969697,27.11825263,,,,,220.67,194.1366667,,,,,,
2031-02-01 00:00:00,118.0339547,-43.80490834,118.0339547,-6.838666667,92.76888889,27.21423158,,,,,220.67,194.1366667,,,,,,
2031-03-01 00:00:00,117.7502497,-44.55439535,117.7502497,-6.838666667,92.19808081,27.31021053,,,,,220.67,194.1366667,,,,,,
2031-04-01 00:00:00,117.4665446,-45.30388235,117.4665446,-6.838666667,91.62727273,27.40618947,,,,,220.67,194.1366667,,,,,,
2031-05-01 00:00:00,117.1828395,-46.05336936,117.1828395,-6.838666667,91.05646465,27.50216842,,,,,220.67,194.1366667,,,,,,
2031-06-01 00:00:00,116.8991345,-46.80285636,116.8991345,-6.838666667,90.48565657,27.59814737,,,,,220.67,194.1366667,,,,,,
