datetime,Mean CH - layer 2 (Intermediate Aquifer)
11/1/1921,66.57022705
12/1/1921,66.55150372
1/1/1922,66.54056343
2/1/1922,65.26150476
3/1/1922,64.95476628
4/1/1922,64.78974222
5/1/1922,64.7102514
6/1/1922,64.63394221
7/1/1922,64.58049306
8/1/1922,64.45946395
9/1/1922,64.36586966
10/1/1922,64.31054227
11/1/1922,64.25489848
12/1/1922,64.17608021
1/1/1923,64.08500941
2/1/1923,63.89548533
3/1/1923,63.6672773
4/1/1923,62.91136649
5/1/1923,62.72531123
6/1/1923,62.62695262
7/1/1923,62.56456203
8/1/1923,62.52250639
9/1/1923,62.48976113
10/1/1923,62.4599023
11/1/1923,62.43048505
12/1/1923,62.40321948
1/1/1924,62.37621094
2/1/1924,62.35011691
3/1/1924,62.33120278
4/1/1924,62.30491993
5/1/1924,62.28121753
6/1/1924,62.25778925
7/1/1924,62.2268021
8/1/1924,62.20049385
9/1/1924,62.18144203
10/1/1924,62.1599149
11/1/1924,62.14644838
12/1/1924,62.12663724
1/1/1925,62.1072443
2/1/1925,62.08152225
3/1/1925,62.06569385
4/1/1925,62.04965289
5/1/1925,62.03476788
6/1/1925,62.02154475
7/1/1925,62.0098503
8/1/1925,61.99896369
9/1/1925,61.99588703
10/1/1925,61.98742552
11/1/1925,61.98522446
12/1/1925,61.97760272
1/1/1926,61.96177625
2/1/1926,61.94261847
3/1/1926,61.9307142
4/1/1926,61.91492612
5/1/1926,61.83729809
6/1/1926,61.82078987
7/1/1926,61.36085538
8/1/1926,60.06024721
9/1/1926,59.63247007
10/1/1926,58.92627453
11/1/1926,58.69872238
12/1/1926,58.55785098
1/1/1927,58.45826138
2/1/1927,58.37587946
3/1/1927,58.32458372
4/1/1927,58.27380273
5/1/1927,58.23224315
6/1/1927,58.1483632
7/1/1927,58.06768049
8/1/1927,58.00115658
9/1/1927,57.94146272
10/1/1927,57.90001414
11/1/1927,57.87111978
12/1/1927,57.85701912
1/1/1928,57.83143338
2/1/1928,57.80763213
3/1/1928,57.78683694
4/1/1928,57.75314427
5/1/1928,57.73506152
6/1/1928,57.71823272
7/1/1928,57.70383602
8/1/1928,57.6837219
9/1/1928,57.67290631
10/1/1928,57.66438021
11/1/1928,57.66340396
12/1/1928,57.6585608
1/1/1929,57.65521558
2/1/1929,57.65328369
3/1/1929,57.65219953
4/1/1929,57.65137516
5/1/1929,57.65082959
6/1/1929,57.65623088
7/1/1929,57.65599432
8/1/1929,57.65583902
9/1/1929,57.6557144
10/1/1929,57.65560931
11/1/1929,57.65551714
12/1/1929,57.66227603
1/1/1930,57.66213841
2/1/1930,57.66201726
3/1/1930,57.66191859
4/1/1930,57.66182233
5/1/1930,57.66174105
6/1/1930,57.66166936
7/1/1930,57.66161106
8/1/1930,57.66156211
9/1/1930,57.66152394
10/1/1930,57.66149663
11/1/1930,57.66147466
12/1/1930,57.66145767
1/1/1931,57.66144452
2/1/1931,57.66143565
3/1/1931,57.66143106
4/1/1931,57.66143009
5/1/1931,57.66143009
6/1/1931,57.66143009
7/1/1931,57.66143009
8/1/1931,57.66143009
9/1/1931,57.66143009
10/1/1931,57.66143009
11/1/1931,57.66143009
12/1/1931,57.66143009
1/1/1932,57.66143009
2/1/1932,57.66077058
3/1/1932,57.66005116
4/1/1932,57.65964814
5/1/1932,57.65952766
6/1/1932,57.65952766
7/1/1932,57.65952766
8/1/1932,57.65952766
9/1/1932,57.65952766
10/1/1932,57.65952766
11/1/1932,57.65952766
12/1/1932,57.65952766
1/1/1933,57.65952766
2/1/1933,57.65952766
3/1/1933,57.65952766
4/1/1933,57.65952766
5/1/1933,57.65952766
6/1/1933,57.65952766
7/1/1933,57.65952766
8/1/1933,57.65952766
9/1/1933,57.65952766
10/1/1933,57.65952766
11/1/1933,57.65952766
12/1/1933,57.65952766
1/1/1934,57.65874379
2/1/1934,57.65874379
3/1/1934,57.66973971
4/1/1934,57.67861573
5/1/1934,57.67779641
6/1/1934,57.6568161
7/1/1934,57.65307568
8/1/1934,57.65445429
9/1/1934,57.65069983
10/1/1934,57.64426682
11/1/1934,57.64284726
12/1/1934,57.64125934
1/1/1935,57.63984151
2/1/1935,57.63827297
3/1/1935,57.63512179
4/1/1935,57.63295092
5/1/1935,57.63905686
6/1/1935,57.63692025
7/1/1935,57.63498679
8/1/1935,57.63306053
9/1/1935,57.63127852
10/1/1935,57.62964161
11/1/1935,57.62810279
12/1/1935,57.62677795
1/1/1936,57.62592573
2/1/1936,57.63163555
3/1/1936,57.63083425
4/1/1936,57.62340621
5/1/1936,57.62019502
6/1/1936,57.62464759
7/1/1936,57.62429791
8/1/1936,57.62181682
9/1/1936,57.61199576
10/1/1936,57.61080004
11/1/1936,57.60996057
12/1/1936,57.60345763
1/1/1937,57.60274425
2/1/1937,57.60232588
3/1/1937,57.60199378
4/1/1937,57.60167734
5/1/1937,57.60136971
6/1/1937,57.60104636
7/1/1937,57.60076189
8/1/1937,57.6045072
9/1/1937,57.59944953
10/1/1937,57.61205011
11/1/1937,57.61134905
12/1/1937,57.61073056
1/1/1938,57.61029448
2/1/1938,57.60986844
3/1/1938,57.60262733
4/1/1938,57.60909586
5/1/1938,57.60864736
6/1/1938,57.60840112
7/1/1938,57.60819022
8/1/1938,57.60800994
9/1/1938,57.60787416
10/1/1938,57.6077923
11/1/1938,57.60774019
12/1/1938,57.60773372
1/1/1939,57.60772941
2/1/1939,57.60772773
3/1/1939,57.60772773
4/1/1939,57.60772773
5/1/1939,57.60772773
6/1/1939,57.61825662
7/1/1939,57.61825662
8/1/1939,57.61825662
9/1/1939,57.61693915
10/1/1939,57.61402107
11/1/1939,57.62505765
12/1/1939,57.6249719
1/1/1940,57.62488454
2/1/1940,57.62479842
3/1/1940,57.62471895
4/1/1940,57.62463529
5/1/1940,57.62455561
6/1/1940,57.62447479
7/1/1940,57.62439819
8/1/1940,57.62432102
9/1/1940,57.62424621
10/1/1940,57.62417636
11/1/1940,57.62410733
12/1/1940,57.62378415
1/1/1941,57.62367126
2/1/1941,57.62353035
3/1/1941,57.6233779
4/1/1941,57.62266749
5/1/1941,57.62180135
6/1/1941,57.62070498
7/1/1941,57.61961272
8/1/1941,57.61845106
9/1/1941,57.61705561
10/1/1941,57.62115223
11/1/1941,57.61808109
12/1/1941,57.61362042
1/1/1942,57.60863168
2/1/1942,57.61067358
3/1/1942,57.60590476
4/1/1942,57.60112918
5/1/1942,57.59873571
6/1/1942,57.59606694
7/1/1942,57.59383586
8/1/1942,57.5916258
9/1/1942,57.59573907
10/1/1942,57.59378637
11/1/1942,57.59754438
12/1/1942,57.6011449
1/1/1943,57.58391295
2/1/1943,57.57975091
3/1/1943,57.58890227
4/1/1943,57.59034973
5/1/1943,57.58573045
6/1/1943,57.59281825
7/1/1943,57.59014836
8/1/1943,57.58840474
9/1/1943,57.58732076
10/1/1943,57.58641672
11/1/1943,57.5857698
12/1/1943,57.58533589
1/1/1944,57.58498478
2/1/1944,57.58452664
3/1/1944,57.58410024
4/1/1944,57.58365597
5/1/1944,57.58324023
6/1/1944,57.58282931
7/1/1944,57.58245197
8/1/1944,57.58208636
9/1/1944,57.58174705
10/1/1944,57.5814446
11/1/1944,57.58116045
12/1/1944,57.58091214
1/1/1945,57.58068029
2/1/1945,57.58046738
3/1/1945,57.58028174
4/1/1945,57.58008382
5/1/1945,57.57989882
6/1/1945,57.57971388
7/1/1945,57.57954009
8/1/1945,57.57936536
9/1/1945,57.57919488
10/1/1945,57.57903347
11/1/1945,57.57887013
12/1/1945,57.57869726
1/1/1946,57.57854024
