datetime,Mean CH - layer 3 (Pliocene)
1/1/1923,387.6337546
2/1/1923,387.5861604
3/1/1923,387.4976223
4/1/1923,387.417986
5/1/1923,387.2611779
6/1/1923,387.1247205
7/1/1923,387.0294222
8/1/1923,386.8266521
9/1/1923,386.3402378
10/1/1923,386.2149597
11/1/1923,385.9889711
12/1/1923,385.5596827
1/1/1924,385.2399026
2/1/1924,385.0232131
3/1/1924,384.8362041
4/1/1924,384.6087901
5/1/1924,384.4125138
6/1/1924,384.1110724
7/1/1924,383.7665144
8/1/1924,383.2346776
9/1/1924,382.5850286
10/1/1924,382.1926009
11/1/1924,381.5313874
12/1/1924,379.8264806
1/1/1925,379.117003
2/1/1925,378.2110406
3/1/1925,377.2290077
4/1/1925,376.0914876
5/1/1925,375.1917292
6/1/1925,374.5461164
7/1/1925,373.9795699
8/1/1925,373.4702665
9/1/1925,372.926425
10/1/1925,372.53763
11/1/1925,372.2089852
12/1/1925,371.919669
1/1/1926,371.5825826
2/1/1926,371.3055517
3/1/1926,370.8428164
4/1/1926,370.3181747
5/1/1926,370.0718903
6/1/1926,369.7969634
7/1/1926,369.3378248
8/1/1926,368.9929808
9/1/1926,368.5168699
10/1/1926,368.2384856
11/1/1926,368.0112071
12/1/1926,367.807889
1/1/1927,367.6235294
2/1/1927,367.4374756
3/1/1927,367.2584434
4/1/1927,367.106764
5/1/1927,367.0188141
6/1/1927,366.8799041
7/1/1927,366.7913196
8/1/1927,366.7052403
9/1/1927,366.6441939
10/1/1927,366.5753482
11/1/1927,366.4400356
12/1/1927,366.3396252
1/1/1928,366.2367645
2/1/1928,366.1328848
3/1/1928,366.035635
4/1/1928,365.8314132
5/1/1928,365.6939535
6/1/1928,365.3635014
7/1/1928,365.1125185
8/1/1928,364.7870686
9/1/1928,364.573442
10/1/1928,364.3384294
11/1/1928,364.1401868
12/1/1928,364.0086872
1/1/1929,363.9373474
2/1/1929,363.796065
3/1/1929,363.7065997
4/1/1929,363.6106595
5/1/1929,363.5348682
6/1/1929,363.4097759
7/1/1929,363.2797589
8/1/1929,363.1517897
9/1/1929,363.0806193
10/1/1929,363.0270989
11/1/1929,362.9297873
12/1/1929,362.8692503
1/1/1930,362.8095527
2/1/1930,362.7383716
3/1/1930,362.6881453
4/1/1930,362.6468877
5/1/1930,362.524413
6/1/1930,362.4824173
7/1/1930,362.3877935
8/1/1930,362.2597177
9/1/1930,362.1406292
10/1/1930,361.4616463
11/1/1930,360.761468
12/1/1930,360.1272346
1/1/1931,358.7246365
2/1/1931,358.2293863
3/1/1931,357.828221
4/1/1931,357.3696179
5/1/1931,356.9112355
6/1/1931,356.5595363
7/1/1931,356.3288803
8/1/1931,356.1386894
9/1/1931,355.8523001
10/1/1931,355.6282305
11/1/1931,355.4111879
12/1/1931,355.1971158
1/1/1932,355.0712997
2/1/1932,354.9455826
3/1/1932,354.8066092
4/1/1932,354.7233955
5/1/1932,354.6294099
6/1/1932,354.5390777
7/1/1932,354.4716754
8/1/1932,354.3711393
9/1/1932,354.276701
10/1/1932,354.1867675
11/1/1932,354.1668726
12/1/1932,354.1340618
1/1/1933,354.0709648
2/1/1933,354.0082947
3/1/1933,353.9520338
4/1/1933,353.8723037
5/1/1933,353.8128488
6/1/1933,353.751832
7/1/1933,353.6760541
8/1/1933,353.6158684
9/1/1933,353.5282824
10/1/1933,353.4128094
11/1/1933,353.3533737
12/1/1933,353.2963011
1/1/1934,353.2377902
2/1/1934,353.1797291
3/1/1934,353.1276446
4/1/1934,353.0700345
5/1/1934,353.0146554
6/1/1934,352.9578769
7/1/1934,352.9033834
8/1/1934,352.8475889
9/1/1934,352.8286359
10/1/1934,352.7756135
11/1/1934,352.7213451
12/1/1934,352.701509
1/1/1935,352.6861992
2/1/1935,352.6510151
3/1/1935,352.6035061
4/1/1935,352.5509734
5/1/1935,352.5259191
6/1/1935,352.4476358
7/1/1935,352.3720473
8/1/1935,352.3632717
9/1/1935,352.2879787
10/1/1935,352.2397445
11/1/1935,352.1917384
12/1/1935,352.150366
1/1/1936,352.1236385
2/1/1936,352.0363139
3/1/1936,351.955976
4/1/1936,351.8990498
5/1/1936,351.8436895
6/1/1936,351.7561417
7/1/1936,351.7028749
8/1/1936,351.6545223
9/1/1936,351.5116841
10/1/1936,351.4486982
11/1/1936,351.4043019
12/1/1936,351.341387
1/1/1937,351.283035
2/1/1937,351.22591
3/1/1937,351.1525872
4/1/1937,351.0791437
5/1/1937,351.0272333
6/1/1937,350.9749797
7/1/1937,350.9081752
8/1/1937,350.8398934
9/1/1937,350.7901157
10/1/1937,350.7423482
11/1/1937,350.6933708
12/1/1937,350.6460238
1/1/1938,350.5603583
2/1/1938,350.5119126
3/1/1938,350.4971984
4/1/1938,350.4301402
5/1/1938,350.3808049
6/1/1938,350.3303303
7/1/1938,350.2819799
8/1/1938,350.1950189
9/1/1938,350.1445309
10/1/1938,350.1130278
11/1/1938,350.065462
12/1/1938,350.0195423
1/1/1939,349.9724163
2/1/1939,349.925669
3/1/1939,349.8987927
4/1/1939,349.8447335
5/1/1939,349.7760479
6/1/1939,349.7609038
7/1/1939,349.7465297
8/1/1939,349.6870516
9/1/1939,349.6527614
10/1/1939,349.6034122
11/1/1939,349.5429366
12/1/1939,349.5026638
1/1/1940,349.4543229
2/1/1940,349.4444942
3/1/1940,349.3953954
4/1/1940,349.3375485
5/1/1940,349.2858253
6/1/1940,349.2575511
7/1/1940,349.1768476
8/1/1940,349.058795
9/1/1940,348.8530309
10/1/1940,348.7010985
11/1/1940,348.5411901
12/1/1940,348.2730031
1/1/1941,348.0900713
2/1/1941,347.9487257
3/1/1941,347.7160624
4/1/1941,347.4869141
5/1/1941,347.3906211
6/1/1941,347.2848202
7/1/1941,347.1268218
8/1/1941,347.019972
9/1/1941,346.8541274
10/1/1941,346.6905405
11/1/1941,346.5724456
12/1/1941,346.4516563
1/1/1942,346.3466934
2/1/1942,346.2780724
3/1/1942,346.2128975
4/1/1942,346.1748557
5/1/1942,346.0902469
6/1/1942,346.0466846
7/1/1942,345.9809461
8/1/1942,345.9277276
9/1/1942,345.7931006
10/1/1942,345.7664866
11/1/1942,345.6844661
12/1/1942,345.5899339
1/1/1943,345.5443234
2/1/1943,345.4697358
3/1/1943,345.4078018
4/1/1943,345.3514681
5/1/1943,345.2944805
6/1/1943,345.2265568
7/1/1943,345.1596752
8/1/1943,345.0887603
9/1/1943,345.0484553
10/1/1943,344.9926197
11/1/1943,344.9389475
12/1/1943,344.8578997
1/1/1944,344.7962502
2/1/1944,344.7492882
3/1/1944,344.7064458
4/1/1944,344.6489951
5/1/1944,344.6069259
6/1/1944,344.5261974
7/1/1944,344.4467541
8/1/1944,344.4054463
9/1/1944,344.3646393
10/1/1944,344.2850834
11/1/1944,344.2835143
12/1/1944,344.2454232
1/1/1945,344.2065144
2/1/1945,344.1680626
3/1/1945,344.1336924
4/1/1945,344.0960516
5/1/1945,344.0599904
6/1/1945,344.0230969
7/1/1945,343.98773
8/1/1945,343.9515438
9/1/1945,343.9287462
10/1/1945,343.8943312
11/1/1945,343.8590954
12/1/1945,343.8253023
1/1/1946,343.7907192
2/1/1946,343.7563983
3/1/1946,343.7256954
4/1/1946,343.6921064
5/1/1946,343.7020388
6/1/1946,343.6984177
7/1/1946,343.6664324
8/1/1946,343.633884
9/1/1946,343.6020226
10/1/1946,343.5715807
11/1/1946,343.5382385
12/1/1946,343.5272732
1/1/1947,343.4804339
2/1/1947,343.4485226
3/1/1947,343.4202568
4/1/1947,343.3897985
5/1/1947,343.3605882
6/1/1947,343.3304557
7/1/1947,343.3011089
8/1/1947,343.2427543
9/1/1947,343.1595442
10/1/1947,342.6985957
11/1/1947,341.6519549
12/1/1947,340.6733807
1/1/1948,340.2352033
2/1/1948,339.9784165
3/1/1948,339.8531541
4/1/1948,339.7149224
5/1/1948,339.65579
6/1/1948,339.5383398
7/1/1948,339.4234078
8/1/1948,339.3022255
9/1/1948,339.1553596
10/1/1948,338.9361195
11/1/1948,338.4865824
12/1/1948,337.5303793
1/1/1949,337.0577082
2/1/1949,336.6837
3/1/1949,336.4105024
4/1/1949,336.172654
5/1/1949,336.0574521
6/1/1949,335.8499873
7/1/1949,335.6472746
8/1/1949,335.4711253
9/1/1949,335.2609977
10/1/1949,335.0948087
11/1/1949,334.921973
12/1/1949,334.8013827
1/1/1950,334.6814983
2/1/1950,334.5953377
3/1/1950,334.5263039
4/1/1950,334.4720138
5/1/1950,334.3690706
6/1/1950,334.313499
7/1/1950,334.2497744
8/1/1950,334.1858515
9/1/1950,334.1591911
10/1/1950,334.1161107
11/1/1950,334.0566609
12/1/1950,333.9715069
1/1/1951,333.9339422
2/1/1951,333.880628
3/1/1951,333.8342045
4/1/1951,333.7380548
5/1/1951,333.7238221
6/1/1951,333.6786295
7/1/1951,333.635808
8/1/1951,333.592432
9/1/1951,333.549861
10/1/1951,333.509295
11/1/1951,333.5437364
12/1/1951,333.5040774
1/1/1952,333.4633553
2/1/1952,333.3652503
3/1/1952,333.326801
4/1/1952,333.2548552
5/1/1952,333.2308433
6/1/1952,333.2059175
7/1/1952,333.1555011
8/1/1952,333.0985419
9/1/1952,332.9883953
10/1/1952,332.6704652
11/1/1952,331.8667048
12/1/1952,331.1019269
1/1/1953,330.6281966
2/1/1953,330.2733283
3/1/1953,329.9160126
4/1/1953,329.6831709
5/1/1953,329.3941667
6/1/1953,329.0467623
7/1/1953,328.2431218
8/1/1953,327.2648322
9/1/1953,326.6052864
10/1/1953,325.2452569
11/1/1953,324.6003222
12/1/1953,324.0707957
1/1/1954,323.6445519
2/1/1954,323.3279235
3/1/1954,323.0741495
4/1/1954,322.8882754
5/1/1954,322.6752956
6/1/1954,322.4572832
7/1/1954,322.22233
8/1/1954,321.7071419
9/1/1954,320.4641635
10/1/1954,319.7783065
11/1/1954,318.3209195
12/1/1954,317.4073143
1/1/1955,316.5190701
2/1/1955,315.8469147
3/1/1955,314.7106219
4/1/1955,313.9596255
5/1/1955,312.3703187
6/1/1955,311.3179466
7/1/1955,309.9366192
8/1/1955,308.7921954
9/1/1955,307.2445317
10/1/1955,306.0470246
11/1/1955,304.9348882
12/1/1955,303.1564173
1/1/1956,301.3671748
2/1/1956,299.6167045
3/1/1956,298.5200891
4/1/1956,297.6485217
5/1/1956,296.8222958
6/1/1956,296.1107449
7/1/1956,295.4058573
8/1/1956,294.7986467
9/1/1956,294.1710143
10/1/1956,293.640395
11/1/1956,293.1854031
12/1/1956,292.7709985
1/1/1957,292.2592717
2/1/1957,291.9042307
3/1/1957,291.6075077
4/1/1957,291.2129218
5/1/1957,290.7399922
6/1/1957,288.5218982
7/1/1957,285.9165471
8/1/1957,282.4446983
9/1/1957,278.4172051
10/1/1957,274.4874329
11/1/1957,269.9348204
12/1/1957,266.9247254
1/1/1958,265.0012227
2/1/1958,263.6942508
3/1/1958,262.7435993
4/1/1958,261.7770502
5/1/1958,261.1407288
6/1/1958,260.5071764
7/1/1958,259.6587479
8/1/1958,258.9472555
9/1/1958,258.2258784
10/1/1958,256.770469
11/1/1958,253.6252203
12/1/1958,251.9144793
1/1/1959,250.5683559
2/1/1959,249.6507681
3/1/1959,248.8763974
4/1/1959,248.1822905
5/1/1959,247.5040856
6/1/1959,246.913813
7/1/1959,246.3979146
8/1/1959,245.9062549
9/1/1959,245.5293311
10/1/1959,245.1924403
11/1/1959,244.866628
12/1/1959,244.6382696
1/1/1960,244.403246
2/1/1960,244.0610623
3/1/1960,243.8757354
4/1/1960,243.6150773
5/1/1960,243.3334383
6/1/1960,243.0201834
7/1/1960,242.5980235
8/1/1960,242.0591967
9/1/1960,240.5043747
10/1/1960,237.8785945
11/1/1960,234.9000354
12/1/1960,232.4580772
1/1/1961,231.1043538
2/1/1961,230.0759205
3/1/1961,229.3411291
4/1/1961,228.5649186
5/1/1961,228.0765573
6/1/1961,227.6390961
7/1/1961,227.3317437
8/1/1961,227.0043244
9/1/1961,226.6788343
10/1/1961,226.2063911
11/1/1961,225.6167539
12/1/1961,224.709986
1/1/1962,223.5132671
2/1/1962,222.6050644
3/1/1962,222.1003243
4/1/1962,221.5281129
5/1/1962,221.0073815
6/1/1962,220.6681943
7/1/1962,220.3422744
8/1/1962,219.9300361
9/1/1962,219.5970067
10/1/1962,219.1172707
11/1/1962,218.2024842
12/1/1962,216.8997563
1/1/1963,215.8545636
2/1/1963,215.0387922
3/1/1963,214.4330973
4/1/1963,213.9923686
5/1/1963,213.4872945
6/1/1963,212.9803448
7/1/1963,212.6354324
8/1/1963,212.2524529
9/1/1963,211.8060077
10/1/1963,211.2343254
11/1/1963,210.5199301
12/1/1963,209.7177653
1/1/1964,209.0197447
2/1/1964,208.2393029
3/1/1964,207.5862918
4/1/1964,206.7904247
5/1/1964,206.0895684
6/1/1964,205.4160955
7/1/1964,204.7520242
8/1/1964,204.0704321
9/1/1964,203.4786507
10/1/1964,202.8792561
11/1/1964,202.2279421
12/1/1964,201.646294
1/1/1965,201.1897265
2/1/1965,200.8239547
3/1/1965,200.5275866
4/1/1965,200.2458539
5/1/1965,199.9940343
6/1/1965,199.7584226
7/1/1965,199.5424939
8/1/1965,199.3269745
9/1/1965,199.081719
